id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
360,"A project manager is overseeing the construction of a new office
building. In analyzing the project for monthly status reporting, the
project manager notices that the schedule performance index (SPI) is
0.75 and the cost performance index (CPI) is 1.25. The project manager
must provide the first project status review soon and wants to emphasize
that the project is under control. How should the project manager report the project status to key
stakeholders?","Explain that the project is behind schedule but suggest adding an
experienced resource to stay within schedule and maintain the budget","Highlight the cost savings achieved so far and propose adjusting the
timeline","Detail the project management strategies in place to mitigate future
delays","Assure stakeholders that the project is still feasible given the current
budget surplus",,1,,"With SPI of 0.75 (behind schedule) and CPI of 1.25 (under budget), the
project manager should honestly acknowledge the schedule issue while
proposing corrective action that leverages the budget surplus. Adding an
experienced resource addresses the schedule problem by bringing
expertise that can accelerate work, demonstrates proactive management by
proposing a concrete solution rather than accepting delays, and
maintains budget control by using the cost savings (CPI = 1.25) to fund
the resource addition. This approach shows the project is under control
through transparent reporting paired with actionable corrective
measures.",,"Highlighting cost savings while proposing timeline adjustment accepts
schedule failure rather than correcting it, showing the project isn\'t
under control when delays are simply accommodated rather than addressed
through available corrective actions.","Detailing future mitigation strategies is vague and doesn\'t address the
current schedule performance issue with concrete action, failing to
demonstrate control when stakeholders need specific plans for recovering
schedule using the available budget surplus.","Assuring stakeholders the project is feasible given budget surplus
downplays the schedule problem and offers only weak reassurance without
proposing corrective action, when demonstrating control requires
acknowledging issues and presenting solutions.",,760_questions.txt
361,"A project manager leads a team through identifying a quality problem,
analyzing root causes, developing a solution, and implementing
corrective actions. Several weeks later, the same problem reoccurs and
stakeholders are frustrated that the issue wasn\'t truly resolved
despite the time and resources invested. What did the project manager most likely forget to do?",Document the problem in the issue log,Verify that the implemented solution actually solved the problem,Obtain sponsor approval for the corrective action,Communicate the solution to all team members,,2,,"After implementing corrective actions, project managers must verify that
solutions actually resolved the underlying problem rather than assuming
implementation equals success. This verification involves monitoring
results after implementation, measuring performance against success
criteria, and confirming the problem no longer occurs. Without
verification, teams may believe problems are solved when they\'ve only
addressed symptoms or implemented ineffective solutions. The problem
recurring indicates the solution wasn\'t validated as effective.
Verification closes the problem-solving loop and prevents wasted effort
on solutions that don\'t work, enabling teams to try different
approaches when initial solutions prove insufficient.","While documenting problems is important for tracking, failure to
document wouldn\'t directly cause the problem to recur if an effective
solution had been implemented and verified.",,"Sponsor approval for corrective actions is sometimes required for
significant changes, but lack of approval wouldn\'t cause a properly
implemented solution to fail at resolving the problem.","Communication about solutions ensures awareness but doesn\'t affect
whether the solution actually addresses the root cause and prevents
problem recurrence if properly implemented.",,760_questions.txt
362,"A project manager has completed stakeholder identification during
project initiation and documented all stakeholders in the stakeholder
register. Several months into execution, the project manager believes
stakeholder identification is complete and focuses only on managing
already-identified stakeholders. What is the correct approach to stakeholder identification?",Stakeholder identification should only occur during project initiation,"Stakeholder identification should be carried out throughout the project
life cycle",Stakeholder identification is only necessary when problems arise,"Stakeholder identification ends once the stakeholder register is
approved",,2,,"Stakeholder identification is an iterative process that continues
throughout the project, not a one-time activity during initiation. As
projects progress, new stakeholders emerge due to organizational
changes, project phase transitions, scope modifications, or evolving
project impacts. Stakeholders initially uninvolved may become affected
by project decisions, or their influence and interest levels may change
significantly. Previously minor stakeholders may become critical,
requiring updated engagement strategies. Continuously identifying
stakeholders ensures the project manager maintains awareness of all
parties who can affect or are affected by the project, enabling
appropriate engagement and preventing surprises from overlooked
stakeholders who emerge during execution.","Limiting stakeholder identification to initiation ignores that projects
evolve and new stakeholders emerge throughout the life cycle, leaving
the project manager unprepared for changing stakeholder landscapes.",,"Identifying stakeholders only when problems arise is reactive and may
miss opportunities for proactive engagement or fail to recognize
emerging stakeholder concerns before they become issues.","Considering stakeholder identification complete after register approval
treats a dynamic reality as static and prevents the project manager from
adapting to evolving stakeholder situations.",,760_questions.txt
363,"A project manager transitioning from traditional to Agile project
management suggests using sophisticated computer modeling software to
generate detailed project schedules. The Agile team expresses reluctance
to use these tools for schedule generation. Why would Agile projects typically avoid using computer models to
generate detailed project schedules?",Detailed schedules create dependencies that reduce team autonomy,"Computer-generated schedules don\'t account for velocity variations
between iterations",Predictive scheduling models conflict with empirical process control,Agile values responding to change over following detailed plans,,4,,"The Agile Manifesto explicitly values \""Responding to change over
following a plan.\"" Agile projects avoid detailed computer-generated
schedules because they create false precision and rigidity that
conflicts with Agile\'s embrace of change and emergent requirements.
Instead of detailed upfront schedules, Agile uses lightweight planning
approaches like product roadmaps, release planning, and iteration
planning that provide direction without locking teams into detailed
long-term commitments. Agile recognizes that detailed schedules become
outdated quickly as priorities shift and learning occurs, making the
effort to create them wasteful. Teams focus on delivering value
incrementally with adaptive planning rather than executing against
predetermined detailed schedules.","While detailed schedules can create dependencies, Agile\'s objection to
detailed scheduling is more fundamental about the value of detailed
plans conflicting with adaptability rather than specific concerns about
team autonomy.","Computer models can account for velocity variations and historical data,
so technical capability isn\'t the issue. The philosophical objection is
about creating detailed predictions when Agile embraces uncertainty and
change.","While Agile uses empirical process control based on transparency,
inspection, and adaptation, the primary reason for avoiding detailed
schedules is the Agile Manifesto\'s explicit value of responding to
change over following plans.",,,760_questions.txt
364,Which of the following is NOT true about the Control Quality process?,"Control Quality involves inspecting deliverables to verify they meet
requirements",Control Quality identifies defects and recommends corrective actions,"Control Quality validates deliverables and obtains formal customer
acceptance","Control Quality verifies the project is adhering to quality processes
defined in the quality management plan",,3,,"This statement is NOT true because obtaining formal customer acceptance
of deliverables is the purpose of Validate Scope, not Control Quality.
Control Quality focuses on measuring and inspecting deliverables to
verify they meet technical quality requirements and specifications,
while Validate Scope obtains formal acceptance from customers that
deliverables meet their needs and expectations. Control Quality
typically occurs before Validate Scope - deliverables must pass quality
checks before being presented to customers for acceptance. These are
distinct processes serving different purposes in project management.",,,,,,760_questions.txt
365,"A project manager is leading a project for an organization that
consistently chooses options with guaranteed returns over potentially
higher returns with uncertainty, maintains large contingency reserves,
and prefers avoiding any situation that could result in losses even when
potential gains are significant. What risk attitude does this organization demonstrate?",Risk seeking,Risk neutral,Risk averse,Risk tolerant,,3,,"Risk averse organizations or individuals prefer certainty over
uncertainty and are willing to accept lower returns or pay premiums to
avoid risk exposure. They prioritize protecting against losses over
pursuing potential gains, maintain substantial reserves to buffer
against uncertainties, and choose conservative approaches even when
aggressive strategies might offer higher rewards. Risk averse
decision-makers feel the pain of potential losses more acutely than the
pleasure of equivalent gains. This attitude influences procurement
decisions (preferring fixed-price contracts), risk response strategies
(favoring avoidance and transfer over acceptance), and project selection
(choosing safer projects with lower but more certain returns).","Risk seeking individuals or organizations actively pursue uncertainty
and are willing to accept higher risk for potential higher rewards,
opposite of the conservative behavior described.","Risk neutral decision-makers are indifferent between certain outcomes
and uncertain outcomes with equivalent expected values, making decisions
based purely on expected value calculations rather than the preference
for certainty shown.",,"Risk tolerant describes willingness to accept some level of risk
exposure, but the extreme preference for certainty and avoidance of any
loss potential described indicates risk aversion rather than tolerance.",,760_questions.txt
366,"A project manager is developing the project management plan for a
medical device development project. The project must comply with FDA
regulations, complete within an 18-month timeline to meet a trade show
launch, stay within a \$2 million budget, and use only the three senior
engineers currently available in the organization. What are these limiting factors called?",Assumptions,Risks,Constraints,Requirements,,3,,"Constraints are limiting factors that restrict the project team\'s
options and define boundaries within which the project must operate.
Common constraints include schedule (18-month timeline), budget (\$2
million), resources (three specific engineers), regulatory compliance
(FDA regulations), and quality standards. Constraints shape project
planning by defining what must be worked within rather than changed. The
project manager must balance competing constraints and make trade-offs
when conflicts arise between scope, schedule, cost, quality, resources,
and risk.","Assumptions are factors believed to be true for planning purposes but
not yet confirmed, whereas the scenario describes definite limitations
that must be respected.","Risks are uncertain events that may or may not occur and could impact
project objectives, while constraints are known limitations that
definitely exist and must be managed.",,"Requirements define what the project must deliver or achieve, whereas
constraints define the boundaries and limitations within which the
project must operate to deliver those requirements.",,760_questions.txt
367,"A project manager is working with a startup team that wants to release a
product to customers as quickly as possible to gather feedback and
validate assumptions. Rather than building all planned features, the
team wants to deliver the smallest version of the product that provides
core value and enables learning from real users. What approach is the team using?",Incremental delivery,Prototyping,Minimal viable product,Progressive elaboration,,3,,"A minimum viable product (MVP) is the version of a product with just
enough features to satisfy early customers and provide feedback for
future development. The MVP concept, central to Lean Startup
methodology, focuses on delivering core value with minimum effort to
validate assumptions and learn from actual customer usage rather than
building comprehensive feature sets based on untested hypotheses. MVP
enables rapid market entry, reduces waste from building unwanted
features, accelerates learning cycles through real customer feedback,
and allows pivoting based on evidence rather than speculation. The
emphasis is on viability (sufficient to deliver value) and minimum (no
unnecessary features).","Incremental delivery releases functionality in successive increments but
doesn\'t specifically emphasize the \""minimum viable\"" aspect of
delivering only essential features needed for learning and validation.","Prototyping creates preliminary versions to explore design options and
gather feedback but prototypes aren\'t necessarily viable products
intended for actual customer use and value delivery.",,"Progressive elaboration describes iteratively refining plans and
specifications as more information becomes available, focusing on
planning processes rather than the product delivery strategy of
releasing minimum viable versions.",,760_questions.txt
368,"A project manager is actively managing the relationship with a
contracted vendor, monitoring their performance against contract terms,
ensuring deliverables meet specifications, processing invoices for
payment, and managing approved changes to the contract scope. What procurement process is the project manager performing?",Plan Sourcing Strategy,Conduct Procurements,Control Procurements,Close Procurements,,3,,"Control Procurements is the process of managing procurement
relationships, monitoring vendor performance against contract
requirements, ensuring deliverables conform to specifications,
administering contract payments, and managing changes to procurement
agreements. This process occurs throughout contract execution in the
Monitoring and Controlling Focus Area. Key activities include reviewing
vendor performance, verifying deliverable quality, processing payment
requests, managing contract modifications through change control,
resolving disputes, and maintaining procurement documentation. Control
Procurements ensures both buyer and seller fulfill contractual
obligations and that the procurement delivers expected value.","Plan Sourcing Strategy occurs during planning to determine procurement
approach, make-or-buy decisions, and develop procurement documents
before vendors are selected or contracts executed.","Conduct Procurements focuses on obtaining proposals, selecting vendors,
negotiating terms, and awarding contracts, occurring before active
contract management and performance monitoring begin.",,"Close Procurements finalizes contracts after work is complete, obtaining
final acceptance, settling outstanding issues, updating records, and
formally releasing vendors from contractual obligations.",,760_questions.txt
369,"A project manager has delivered the final product to a customer who
approved the scope and release earlier. The project is now in the
closing phase with resources already released. The customer contacts the
project manager requesting a new feature that was not part of the
original scope or any approved change requests. What should the project manager do in response to this request?",Immediately recall released resources to implement the requested feature,"Reject the request because the project scope was already approved and
closed","Explain the feature is outside original scope and initiate a formal
change request for separate post-project work","Implement the feature as a customer service gesture to maintain the
relationship",,3,,"Once the project is in closing with scope formally accepted and
resources released, new feature requests represent additional scope
beyond the completed project. The project manager should explain that
the feature wasn\'t included in the original agreement, clarify that
implementing it would require formal change approval and potentially
reopening or initiating new work, and treat it as a separate effort
requiring its own authorization, resources, and funding. This maintains
proper governance while remaining responsive to customer needs. It is
critical to manage this conversation professionally, empathetically, and
collaboratively to avoid damaging the relationship. The request may lead
to a new project phase, contract amendment, or separate initiative
rather than ad hoc additions to a closed project.","Immediately recalling resources bypasses necessary approvals and change
control, commits resources without authorization, and may not be
feasible if team members have moved to other assignments.","Rejecting the request outright without explanation or exploring options
damages the customer relationship and misses opportunities for
additional value delivery through proper channels.",,"Implementing features without proper authorization and resource
allocation violates project governance, may exhaust remaining budget
without approval, and sets precedent for uncontrolled scope expansion.",,760_questions.txt
370,"A project manager needs to establish a system that will track and
control changes to project deliverables, documents, and baselines
throughout the project lifecycle. The system should document versions,
maintain revision history, ensure only approved changes are implemented,
and provide traceability of all modifications. What system should the project manager implement?",Configuration management system,Change control system,Work authorization system,Project management information system,,1,,"A configuration management system provides the processes, tools, and
documentation for identifying configuration items, controlling changes
to those items, recording and reporting change status, and verifying
completeness and correctness. Configuration management tracks product
characteristics and documentation throughout the project, maintains
version control, ensures consistency between related documents and
deliverables, and provides audit trails of all changes. The system
identifies what is being controlled (configuration items), establishes
baselines, controls modifications through formal change processes, and
maintains records of item status and history. Configuration management
is particularly critical for complex products with multiple interrelated
components.",,"Change control systems manage the process of reviewing, approving, and
implementing changes but don\'t provide the comprehensive version
tracking, baseline management, and configuration item identification
that configuration management encompasses.","Work authorization systems provide formal approval to begin work on
specific activities or work packages but don\'t track versions,
modifications, or configuration status of deliverables and documents.","Project management information systems provide broad tools and
capabilities for managing projects but configuration management is a
specific subset focused on controlling and tracking product
characteristics and documentation.",,760_questions.txt
371,"A project manager has completed bottom-up cost estimates for all
individual work packages in the WBS. Now the project manager needs to
combine these detailed estimates to determine the total project budget
by rolling up costs from lower-level work packages to higher-level
deliverables and ultimately to the overall project level. What process is the project manager performing?",Parametric estimating,Three-point estimating,Cost aggregation,Earned value analysis,,3,,"Cost aggregation is the process of summing lower-level cost estimates to
determine higher-level costs and ultimately the total project budget.
After individual work packages are estimated (often using bottom-up
estimating), costs are aggregated upward through the WBS hierarchy. Work
package costs roll up to control accounts, control accounts roll up to
deliverables, and deliverables roll up to the total project cost. Cost
aggregation also includes adding contingency reserves for identified
risks and management reserves for unknown risks. This systematic
accumulation creates the cost baseline and total project budget from
detailed component estimates.","Parametric estimating calculates costs by multiplying unit rates by
quantities (like cost per square meter times total area), which is an
estimation technique rather than the aggregation of existing estimates.","Three-point estimating uses optimistic, most likely, and pessimistic
estimates to calculate weighted averages for individual activities, not
the process of combining existing estimates into totals.",,"Earned value analysis measures project performance by comparing planned
value, earned value, and actual costs during execution, not the
budgeting process of aggregating cost estimates.",,760_questions.txt
372,"A project manager is planning an Agile project that will contain 10
iterations. The team has established a consistent velocity of 14 story
points per iteration based on their historical performance. What is the total size of the project in terms of story points?",10 story points,24 story points,140 story points,154 story points,,3,,"The total project size in story points is calculated by multiplying the
number of iterations by the team\'s velocity per iteration. In this
case: 10 iterations × 14 story points per iteration = 140 total story
points. This calculation helps project managers understand the total
capacity available for delivering work over the planned project
duration. The team can commit to approximately 140 story points worth of
work across the 10 iterations, assuming velocity remains consistent.
This total capacity guides product backlog prioritization and release
planning by showing stakeholders how much work can realistically be
completed within the planned timeframe.","10 story points represents only the number of iterations, not the total
capacity calculated by multiplying iterations by velocity per iteration.","24 story points results from adding iterations and velocity (10 + 14 =
24) rather than multiplying them, which doesn\'t represent the
cumulative capacity across all iterations.",,"154 story points appears to result from incorrect calculation, perhaps
adding rather than properly accounting for the relationship between
iterations and per-iteration velocity.",,760_questions.txt
373,"A project manager has just completed the project charter and is
beginning detailed project planning. The project manager needs to
determine when to develop the plan that will define how project
information will be collected, distributed, stored, and managed
throughout the project. When should the project manager develop the communications management
plan?",During project initiation after creating the charter,During project planning after identifying stakeholders,During project execution when communication needs arise,Continuously throughout the project as needs emerge,,2,,"The communications management plan should be developed during the
Planning Focus Area after stakeholders have been identified through the
Identify Stakeholders process. The plan must be based on stakeholder
analysis results because it defines who needs what information, when
they need it, how it will be delivered, and who is responsible for
communicating. Without first knowing who the stakeholders are and
understanding their information needs, interests, and influence levels,
the project manager cannot develop an effective communications approach.
The Plan Communications Management process uses stakeholder register
information to create tailored communication strategies that address
specific stakeholder requirements.","Developing the plan during initiation is premature because stakeholder
identification and analysis must occur first to understand who needs
information and what their specific communication requirements are.",,"Waiting until execution to plan communications is reactive and leaves
the team without guidance on information management from the start,
potentially missing critical early stakeholder engagement opportunities.","While communications may be adjusted throughout the project, the initial
comprehensive plan should be developed during planning based on
stakeholder analysis, not created ad hoc as situations arise.",,760_questions.txt
374,"A project manager is facilitating a collaborative planning activity
where team members and stakeholders use a visual metaphor of a tree.
Participants write desired features on cards shaped like leaves or
fruits and place them on branches representing different product areas.
The team then discusses which features provide the most value and should
be prioritized, while identifying features that can be removed or
deferred. What Agile planning technique is being used?",Affinity mapping,Story mapping,Prune the product tree,Release planning,,3,,"Prune the product tree is a collaborative prioritization technique where
participants use a tree metaphor to visualize and discuss product
features. Features are represented as leaves or fruits placed on
branches representing product areas or themes. The team \""prunes\"" the
tree by removing lower-priority features (leaves that should be cut)
while nurturing high-value features (fruits that should grow). This
visual, tactile approach engages stakeholders in prioritization
discussions, makes trade-offs explicit through the pruning metaphor, and
builds consensus about what features deserve resources. The technique is
particularly effective for release planning and product roadmap
discussions.","Affinity mapping groups related ideas into categories but doesn\'t use
the tree metaphor or specifically focus on prioritizing and removing
features through pruning decisions.","Story mapping arranges user stories in a two-dimensional grid showing
user workflow horizontally and priority vertically, creating a different
visual representation than the tree metaphor described.",,"Release planning is the broader process of determining what features
will be included in releases, which might use prune the product tree as
one technique but isn\'t itself the specific activity described.",,760_questions.txt
375,"A project manager is learning about the role and functions of a Project
Management Office (PMO) within organizations and wants to ensure they
understand PMO characteristics correctly. Which of the following statements is FALSE concerning a Project
Management Office (PMO)?","PMOs provide governance and standardization of project management
practices across the organization","PMOs may offer training, mentoring, and support to project managers","PMOs directly manage the day-to-day execution of all projects within
their purview","PMOs can range from supportive to directive in their level of control
over projects",,3,,"This statement is FALSE because PMOs typically do not directly manage
the day-to-day execution of projects. Instead, individual project
managers retain responsibility for executing their specific projects.
PMOs provide oversight, governance, standards, methodology guidance,
templates, training, and support, but they don\'t replace project
managers in running projects. The PMO\'s role is to enable project
success through governance and support rather than taking over execution
responsibilities. Project managers report to the PMO and follow its
standards but maintain direct accountability for their project outcomes
and daily management decisions.",,,,,,760_questions.txt
376,"A project manager is comparing traditional and Agile project approaches
and wants to identify practices that are inconsistent with Agile
principles and values. Which of the following is NOT a characteristic of an Agile project?",Self-organizing teams that determine how to accomplish work,Formal change management board that approves all modifications,Timeboxed iterations with regular delivery of working increments,Continuous stakeholder collaboration and feedback throughout development,,2,,"Formal change management boards that require approval for all
modifications are not characteristic of Agile projects. Agile embraces
change through flexible backlog prioritization managed by the product
owner rather than formal change control processes. Changes are
incorporated by adjusting backlog priorities for future iterations
rather than going through approval boards. While Agile maintains
governance, it does so through lightweight mechanisms like product owner
authority and sprint commitments rather than bureaucratic change boards.
The Agile Manifesto explicitly values \""responding to change over
following a plan,\"" which conflicts with rigid change control requiring
board approvals for modifications.","Self-organizing teams are fundamental to Agile, where teams collectively
determine how to accomplish committed work rather than receiving
detailed direction from managers or project leads.",,"Timeboxed iterations (sprints) with regular delivery of working
increments are core to most Agile frameworks, providing predictable
delivery rhythm and frequent value demonstration.","Continuous stakeholder collaboration throughout development is an Agile
principle, contrasting with traditional approaches where customer
involvement concentrates at the beginning and end.",,760_questions.txt
377,"Which of the following is NOT true about Herzberg's Motivator-Hygiene
theory?","Hygiene factors like salary and working conditions prevent
dissatisfaction when adequate","Motivator factors like achievement and recognition create job
satisfaction and motivation","Improving hygiene factors beyond adequate levels doesn\'t increase
motivation","Salary increases are the most effective way to create long-term
motivation and satisfaction",,4,,"This statement is NOT true according to Herzberg\'s theory. Salary is a
hygiene factor, not a motivator. While inadequate salary causes
dissatisfaction, increasing salary beyond adequate levels doesn\'t
create lasting motivation or satisfaction. Salary increases may provide
temporary satisfaction, but this effect fades quickly. True motivation
comes from motivator factors like achievement, recognition, meaningful
work, responsibility, and growth opportunities. Herzberg\'s key insight
is that preventing dissatisfaction (through adequate hygiene factors) is
fundamentally different from creating motivation (through motivator
factors). Organizations cannot buy motivation through compensation alone
but must provide opportunities for achievement and recognition.",,,,,,760_questions.txt
378,"Which collaboration game will allow customers to identify the threats
and opportunities that can affect the project?",Product box,Sailboat,Prune the product tree,Remember the future,,2,,"The Sailboat (also called Speedboat) game uses a visual metaphor where
the project is represented as a boat sailing toward a goal (island).
Participants identify anchors (threats or impediments slowing progress),
winds (opportunities or factors helping progress), rocks (risks or
obstacles), and the island destination (goals or vision). This
collaborative activity engages stakeholders in risk identification
through a visual, accessible metaphor that makes abstract concepts
tangible. The game encourages creative thinking about both positive
forces (winds/opportunities) and negative forces (anchors/threats)
affecting the project, making it effective for comprehensive risk
identification with diverse participant groups.","Product box is a collaboration game where participants design packaging
for the product to identify key features and benefits, focusing on
product vision and marketing rather than risk identification.",,"Prune the product tree uses a tree metaphor for feature prioritization
where participants decide which features to keep or remove, focusing on
scope decisions rather than identifying threats and opportunities.","Remember the future is a visioning technique where participants imagine
the project has succeeded and describe what happened, focusing on
success factors and desired outcomes rather than systematically
identifying current threats and opportunities.",,760_questions.txt
379,"A project manager is developing a project plan and documenting that the
project must be completed within 12 months due to a contractual
deadline, must use only resources from the internal team because of
budget restrictions, and must comply with specific industry regulations
that cannot be changed. What are these factors that limit the project team\'s options called?",Assumptions,Constraints,Requirements,Dependencies,,2,,"Constraints are limiting factors that restrict the project team\'s
options and establish boundaries within which the project must operate.
Common constraints include schedule (12-month deadline), resources
(internal team only), budget, regulations, quality standards, and scope
limitations. Constraints are typically fixed or have very limited
flexibility, requiring the project manager to work within them rather
than change them. Understanding constraints early enables realistic
planning, helps identify potential trade-offs when constraints conflict,
and manages stakeholder expectations about what\'s achievable within the
defined boundaries. Constraints differ from requirements in that they
restrict how work is done rather than defining what must be delivered.","Assumptions are factors believed to be true for planning purposes but
not confirmed, whereas the scenario describes definite, confirmed
limitations that must be respected with no uncertainty.",,"Requirements define specific functionality, features, or characteristics
that deliverables must possess, while constraints establish boundaries
and limitations on how the project operates regardless of what\'s being
delivered.","Dependencies describe relationships where one element relies on another
(like one activity depending on another\'s completion), not the limiting
factors that restrict overall project options and approaches.",,760_questions.txt
380,"A project manager reviews project performance and finds the following:
the project was given a budget of \$3,000 (BAC), actual costs to date
are \$2,000 (AC), but only \$1,200 worth of work has been completed
(EV). The project manager needs to forecast the total expected cost at
completion based on current performance. What do you currently expect the TOTAL project to cost considering this
situation?","\$3,000","\$5,000","\$2,000","\$4,200",,2,,"To calculate Estimate at Completion (EAC) when current cost performance
is expected to continue, use the formula: EAC = BAC / CPI","\$3,000 is the original Budget at Completion (BAC) but doesn\'t account
for the poor cost performance (CPI = 0.60) demonstrated so far, making
it an unrealistic completion forecast.",,"\$2,000 represents only the actual costs spent to date, not a forecast
of total project costs considering current performance trends through
completion.","\$4,200 doesn\'t result from standard EAC calculation formulas and
doesn\'t properly account for the cost performance index indicating only
60% cost efficiency.",,760_questions.txt
381,"A project manager wants to identify which individual risk variables have
the greatest potential impact on project outcomes. The project manager
needs a visual tool that displays risks ranked by their influence on
project objectives, showing which uncertainties deserve the most
management attention. What risk analysis tool should the project manager use?",Tornado diagram,Pareto chart,Ishikawa diagram,Probability and impact matrix,,1,,"A tornado diagram is a type of sensitivity analysis that displays the
relative importance of different risk variables by showing how much each
one affects project outcomes (typically cost or schedule). The diagram
ranks variables from most influential at the top to least influential at
the bottom, creating a shape resembling a tornado. Each horizontal bar
shows the range of possible outcomes (low and high values) for that
variable. Tornado diagrams help project managers prioritize risk
management efforts by identifying which variables have the greatest
potential to affect project success, enabling focused attention on the
most impactful uncertainties rather than spending equal effort on all
risks.",,"Pareto charts rank problems or defects by frequency to identify the
vital few causes, used for quality management rather than showing
individual risk variable impacts on project outcomes.","Ishikawa diagrams (fishbone diagrams) organize potential causes of
problems into categories for root cause analysis, not for ranking which
risk variables have the greatest impact on outcomes.","Probability and impact matrices categorize risks by their likelihood and
consequences but don\'t show the sensitivity of project outcomes to
specific variable changes like tornado diagrams do.",,760_questions.txt
382,"A project manager is facilitating a problem-solving session where the
team needs to systematically explore the root causes of recurring
quality defects. The project manager wants to use a visual tool that
organizes potential causes into major categories such as people,
processes, materials, equipment, environment, and management. What tool should the project manager use?",Pareto chart,Control chart,Scatter diagram,Ishikawa Diagram,,4,,"An Ishikawa diagram (also called fishbone diagram or cause-and-effect
diagram) is a visual tool that systematically identifies and organizes
potential causes of a problem. The diagram resembles a fish skeleton
with the problem at the \""head\"" and major cause categories forming the
\""bones\"" branching off. Common categories include the 6Ms: Manpower
(people), Methods (processes), Materials, Machines (equipment),
Measurements, and Mother Nature (environment). Teams brainstorm
potential causes within each category, creating comprehensive analysis
that reveals relationships between causes and effects. The structured
approach ensures thorough exploration of all potential contributing
factors rather than jumping to conclusions about root causes.","Pareto charts display problems or causes ranked by frequency in
descending order to identify the vital few contributing most to issues,
but don\'t organize causes into categories for systematic root cause
exploration.","Control charts monitor process performance over time by plotting data
against control limits to detect trends or out-of-control conditions,
not for identifying root causes of existing problems.","Scatter diagrams plot relationships between two variables to show
correlation, useful for analyzing relationships but not for organizing
and categorizing multiple potential causes of problems.",,,760_questions.txt
383,"A project manager is developing a construction project schedule and
needs to account for mandatory waiting periods. After pouring concrete,
building codes require waiting 7 days for curing before construction
work can begin on top of the foundation. This waiting period cannot be
shortened regardless of resource availability. What scheduling concept should the project manager use to represent this
mandatory delay?",Float,Lead,Buffer,Lag,,4,,"Lag is a delay inserted between activities in a dependency relationship,
representing mandatory waiting time before a successor activity can
begin. In a finish-to-start relationship with lag, the successor must
wait a specified period after the predecessor completes. The 7-day
curing period is lag in the relationship between concrete pouring and
subsequent construction. Lag accounts for required delays like curing,
drying, approval processes, delivery times, or regulatory waiting
periods that are part of the work process but don\'t involve active
work. The project manager would show this as \""FS + 7 days\"" in the
schedule, indicating the successor starts 7 days after the predecessor
finishes.","Float (or slack) is schedule flexibility showing how long an activity
can be delayed without affecting project completion, not a mandatory
waiting period required by the work process.","Lead allows a successor activity to start before its predecessor
finishes (overlapping activities), which is the opposite of the delay
needed for curing time.","Buffer is contingency time added to the schedule for uncertainty or
risk, not a known mandatory waiting period required by work processes
like curing or regulatory approvals.",,,760_questions.txt
384,"A project manager has developed the project schedule and cost baseline
but discovers that the organization cannot provide the full required
funding during certain periods due to cash flow constraints. The project
manager needs to adjust the schedule to match the organization\'s
ability to provide funds, potentially extending timelines to stay within
available funding levels during each period. What process is the project manager performing?",Funding limit reconciliation,Cost aggregation,Budget forecasting,Resource leveling,,1,,"Funding limit reconciliation adjusts the project schedule to accommodate
funding constraints by shifting work to periods when funds are
available. Organizations often have limits on how much they can spend
during specific time periods due to cash flow, fiscal year budgets, or
capital allocation policies. When the cost baseline requires more
funding than available in certain periods, the project manager must
reconcile this by rescheduling work, potentially extending the project
timeline to distribute costs across more periods. This reconciliation
balances project needs against organizational funding realities,
sometimes requiring trade-offs between optimal scheduling and affordable
cash flow.",,"Cost aggregation sums lower-level estimates to create the total budget
by rolling up costs through the WBS, occurring before funding limit
reconciliation and not addressing timing of fund availability.","Budget forecasting projects future costs and estimates at completion
based on current performance, focusing on predicting final costs rather
than adjusting schedules to match funding availability.","Resource leveling adjusts schedules to resolve resource over-allocation
and optimize utilization, addressing people and equipment constraints
rather than funding availability timing issues.",,760_questions.txt
385,"A project manager needs to establish how the team will identify,
document, track, and control changes to project deliverables and
documentation throughout the project lifecycle. The plan should specify
version control procedures, baseline management approaches, and the
system for maintaining configuration item history. What plan should the project manager develop?",Change management plan,Quality management plan,Scope management plan,Configuration management plan,,4,,"The configuration management plan defines how configuration management
will be performed throughout the project, including how to identify
configuration items, establish baselines, control changes to those
items, maintain version control, and track configuration status. This
plan specifies the configuration management system, tools, and processes
that will be used, defines roles and responsibilities for configuration
management activities, and establishes procedures for documenting and
auditing configuration changes. The configuration management plan is
particularly important for complex projects with multiple interrelated
deliverables where maintaining consistency and traceability across
versions is critical.","The change management plan defines how changes will be submitted,
evaluated, and approved but doesn\'t provide the detailed version
control, baseline management, and configuration item tracking procedures
that configuration management encompasses.","The quality management plan describes quality standards, processes, and
how quality will be managed and verified but doesn\'t specifically
address version control and configuration item management across the
project.","The scope management plan defines how scope will be defined, validated,
and controlled but doesn\'t provide the detailed procedures for tracking
versions, maintaining baselines, and managing configuration items
throughout development.",,,760_questions.txt
