id,statement,option1,option2,option3,option4,option5,correct_answer,correct_answers,explanation,erro_alternative1,erro_alternative2,erro_alternative3,erro_alternative4,erro_alternative5,source
660,"A real estate firm plans a four-building complex, one per year at \$100M
each. By year three's end, building one costs \$100M, building two
\$120M, and building three is 50% done at \$60M. What monthly
performance is needed by year four to hit the plan?",125%,120%,115%,110%,,3,,,,,,,,1500_questions.txt
661,"Your Agile organization does projects for clients. What document aids
charter creation for new customer projects?",Project timeline,Risk chart,Contract,Project limits,,3,,"Contracts outline expectations for external work, key to charters.",,,,,,1500_questions.txt
662,"What risk management type emerges from Agile practices like iterative
planning?",Overt,Intrinsic,Inherent,Organic,,4,,Organic risk management flows naturally from Agile routines.,,,,,,1500_questions.txt
663,"If a risk response fails, what should the project manager do?",Activate a fallback plan.,Log a secondary risk.,Accept the risk actively.,Update the risk register.,,1,,A fallback plan addresses ineffective responses.,,,,,,1500_questions.txt
664,"Zachary manages Project Igloo, five weeks into a twelve-week run, one
week behind but with a CPI of 0.97. A cohesive team gains new member
Micah. Beyond a project overview, what should Zachary do?",Clarify team duties for Micah.,Bring Micah to steering meetings.,Leave it to the team.,Ask the product owner to assist.,,1,,Ensuring Micah knows roles aids integration.,,,,,,1500_questions.txt
665,"On a six-month, fixed-budget project post-phase one, a stakeholder asks
why a discussed change wasn't applied after a cost-benefit talk. What's
your reply?",It wasn't necessary.,It cost too much.,It took too long.,It wasn't documented or processed.,,4,,Undocumented changes miss formal control steps.,,,,,,1500_questions.txt
666,How does Michelle best show transparency visually?,Posts sticky notes on assignments.,Emails spreadsheet updates.,Uses a tool dashboard.,Displays work and velocity openly.,,4,,Open wall displays beat less accessible options in Agile.,,,,,,1500_questions.txt
667,"Isaac, Scrum Master for the Zoo Project, eight iterations in and \$5,000
over a \$123,000 budget, faces a query on a risk task in the backlog.
What's his likely answer?",Product owner's request.,"Risk isn't a task, it's a process.",Scrum Masters track their work.,Risk needs ongoing review.,,4,,Continuous risk evaluation is key in projects.,,,,,,1500_questions.txt
668,"A new project manager clashes often with a senior manager, harming the
team. What's the best resolution step?",Escalate to the sponsor.,Use a neutral mediator.,Schedule regular talks.,Consult other managers.,,1,,,,,,,,1500_questions.txt
669,What's a best practice when wrapping up a project?,Revise project documents.,Plan benefits sustainment.,Compare scope to the plan.,Check the scope baseline.,,4,,Reviewing the baseline confirms objectives are met.,,,,,,1500_questions.txt
670,"A director enlists the project manager to resolve technical disputes for
the charter. What tools should be used?",Change request and variance check,Issue log and requirements plan,Conflict resolution and focus groups,SWOT analysis and team charter,,4,,,,,,,,1500_questions.txt
671,"Why might Jeffrey's team benefit from a value stream map for their
software project's business process?",No benefit,Counts active processes,Spots delays and waste,Measures throughput time,,3,,"It highlights inefficiencies, not time or counts.",,,,,,1500_questions.txt
672,"You notice a resource is overbooked on critical tasks, risking schedule
delays. What technique keeps things on track?",Reverse allocation,Resource leveling,Resource smoothing,Resource loading,,2,,Leveling resolves over-allocation issues.,,,,,,1500_questions.txt
673,"For a three-year project with shifting stakeholders and team, motivation
lags as old techniques fail. Per Resource Management, what's your move?",Adapt motivation tactics over time.,Optimize resource use.,Stick to one communication style.,"Focus on Acquire, Develop, Manage processes.",,1,,Tailoring approaches to team changes is key.,,,,,,1500_questions.txt
674,"Client-added deliverables and tougher testing delay milestones despite
updated criteria. What should the project manager do?",Submit a CCB change request.,Update the quality plan.,Request more resources.,Stick to original criteria.,,3,,,,,,,,1500_questions.txt
675,"A risk breakdown structure has four categories. A new regulatory issue
with a customer requirement arises. Where does it fit?",Technical,Organizational,External,Project management,,3,,,,,,,,1500_questions.txt
676,"Sharing info via letters, memos, or emails exemplifies what
communication type?",Direct,Interactive,Pull,Push,,4,,,,,,,,1500_questions.txt
677,What can spark a project?,Ways to exceed expectations,Inspired staff,Concepts,Needs and demands,,4,,PMBOK® lists seven triggers like market or legal needs.,,,,,,1500_questions.txt
678,"A project manager directs the quality team to tackle the top 20% of
defect causes. What principle is this?",80/20 rule,Specification limits,Assignable cause,Trend analysis,,1,,Pareto's 80/20 rule targets key problem sources.,,,,,,1500_questions.txt
679,"You oversee a newly launched program in your organization and must
initiate multiple projects to achieve the program's benefits. What
document is essential to kick off these projects within your program?",Project charter,Program charter,Program scope statement,Project preliminary scope statement,,1,,,,,,,,1500_questions.txt
680,"In your role as program manager, you've drafted a statement of work, a
request for proposal, and an invite to a bidder's conference for 17
potential vendors. After addressing questions raised during the
conference, what should you revise and send back to the vendors?",Request for bid documents,Proposals,Statement of work,Program management plan,,3,,,,,,,,1500_questions.txt
681,"Your program's governance has signed off on closing a component project.
At which stage of the program lifecycle are you currently operating?",\* Program initiation phase,\* Program definition phase,\* Program delivery phase,\* Program closure phase,,3,,"Project or component closure occurs in program delivery. When all
components are closed, then we close the program.",,,,,,1500_questions.txt
682,"While managing a program, a team member incorrectly installs a fixture
and you instruct them to fix it. After the correction is made, what's
the next step?",Defect repair validation,Lesson learned documentation,Corrective actions,Preventive actions,,1,,,,,,,,1500_questions.txt
683,"Which risk response strategy for threats aims to lower either the
likelihood or the effect of a risk to an acceptable level?",Risk avoidance,Risk transference,Risk mitigation,Risk acceptance,,3,,,,,,,,1500_questions.txt
684,"You're managing a critical program in your country. After securing
approval for your business case, you're now drafting the Program Charter
and presenting an initial schedule to the steering committee. What is
this schedule referred to as?",\* Program Master Schedule,\* A roadmap,\* Schedule Baseline,\* Key milestones,,2,,You present a draft of the schedule while preparing a program roadmap.,,,,,,1500_questions.txt
685,"As the program manager, you're defining roles and responsibilities and
want to use a RACI chart. What does RACI stand for?","It's a chart detailing roles with responsible, accountable, consult, and
inform duties as the legend","It's a chart outlining roles with responsible, action, consult, and
interest duties as the legend","It's a chart specifying roles with resource, action, contribute, and
inform duties as the legend","It's a chart assigning roles with responsible, accountable, contribute,
and inform duties as the legend",,1,,,,,,,,1500_questions.txt
686,"Your program includes two projects (A & B) but has only one Subject
Matter Expert (SME). Both project managers have scheduled the SME for
the same two-week period. This situation exemplifies what?",\* Constraint,\* Dependency,\* Assumption,\* Risk,,1,,"This is a resource limitation, an example of a project/program
constraint.",,,,,,1500_questions.txt
687,"As a project manager on a construction project, you're closing a phase.
Which technique is uniquely available in the Close Project or Phase
process?",Change control meetings,Project management information system,Expert judgment,Observations,,3,,,,,,,,1500_questions.txt
688,"Wanda, your organization's program manager, leads a team of diverse
members unfamiliar with each other. She plans team-building focused on
program tasks. Which plan should she consult and update for this effort?",Training plan,Communications management plan,Staffing management plan,Requirements management plan,,1,,,,,,,,1500_questions.txt
689,"Your program has been chosen, and its charter is under development. The
charter specifies all but which of these elements?",Program constraints,Program scope,High-level program objectives,Project scope statements for all program projects,,4,,,,,,,,1500_questions.txt
690,"Identifying program benefits involves all these factors except which
one?",\* Business strategy,\* External influence,\* Program drivers,\* Benefits realization plan,,4,,The Benefits Realization Plan is developed after benefit identification.,,,,,,1500_questions.txt
691,"Joan manages a program for her organization. Management requests a
centralized system to track program work, risks, changes, and benefits.
What tool can Joan deploy to meet these needs?",Program management information system,Program management integrated change control,Change control systems,Program management plan execution,,1,,,,,,,,1500_questions.txt
692,Which document establishes the objectives for a project?,Project charter,Project schedule,Project scope statement,Project organization chart,,3,,,,,,,,1500_questions.txt
693,"A critical initiative involving new and existing technologies requires a
thorough risk management plan, as deemed by the governance board and
sponsor. During which phase is this plan formulated?",\* Program Definition,\* Program Control,\* Program Delivery,\* Program Risk Management Planning,,1,,"The Program Risk Management Plan is crafted as part of the program
management plan during the program definition phase.",,,,,,1500_questions.txt
694,"At a steering committee meeting with senior executives and team members,
you observe the team's reluctance to speak up. What's the best way to
encourage participation?",\* Proceed with the meeting as usual,\* Use a focus group,\* Apply the Delphi Technique,\* Conduct brainstorming,,3,,"The Delphi Technique gathers insights anonymously to foster discussion
and consensus, reducing intimidation factors.",,,,,,1500_questions.txt
695,"Due to a recession, your organization halts external hiring, forcing
internal resource shifts to meet program needs. What's your optimal
approach?",\* Assign resources based on their career aspirations,\* Launch extensive training across program projects,\* Reassign and prioritize resources internally,\* Allocate resources by performance metrics,,3,,"With external hiring blocked, prioritizing and reassigning internal
resources is the most effective solution.",,,,,,1500_questions.txt
696,"Stakeholders frequently submit unplanned requests, leading to redundant
reporting and communication issues. Which element needs a thorough
review and adjustment to fix this?",\* Program Communications management plan,\* Program Benefits Management Domain,\* Stakeholder Communication Requirements,\* Program Communications Report,,1,,"Revising the communications management plan can streamline communication
processes and reduce inefficiencies.",,,,,,1500_questions.txt
697,"Your program has five components requiring IT peripherals. What's the
most practical procurement strategy?","\* As a program-level effort, select one vendor to supply all components
under a single contract","\* As a program-level effort, choose five vendors for each component
with separate contracts","\* Treat it as component-level procurement, selecting five vendors for
each component individually","\* Treat it as component-level procurement, using five vendors under one
unified contract",,1,,"Centralized procurement with one vendor simplifies management and often
reduces costs.",,,,,,1500_questions.txt
698,"You manage a two-year program with eight projects costing \$4 million,
with risks potentially increasing expenses. Management wants to know how
long until the management horizon is reached. What's another term for
this?",Payback period,Cost performance index,Cost-to-benefits ratio,Return on investment,,1,,,,,,,,1500_questions.txt
699,"In a senior management meeting, an executive stresses optimizing
resources across programs. As program manager, where should you
concentrate to meet this goal?",\* Resource Planning,\* Schedule Planning,\* Cost cutting,\* Resource Leveling,,4,,"Resource leveling optimizes the use of available resources across the
program.",,,,,,1500_questions.txt
700,"Robert, managing the UdemyGrowth Program, worries about his new team's
cohesion. He plans a team-building exercise but doesn't need which of
these to proceed?",Risk management plan,Program management plan,Personnel records,Training records,,1,,,,,,,,1500_questions.txt
701,"Which document logs all issues, adverse events, or situations
encountered in the program to date?",Program charter,Program risk register,Program issue register,Program scope statement,,3,,,,,,,,1500_questions.txt
702,"The program manager aims to transition the organization from its current
state to a desired future state. What best represents this future state?",\* Operations,\* Implemented program outcomes,\* Creation of benefits management plan,\* Analyze the change readiness,,2,,"Implementing program outcomes shifts the organization to the envisioned
to-be state.",,,,,,1500_questions.txt
703,"Your company and a rival have partnered via a teaming agreement to
tackle a major program, sharing risk. What risk response does this
represent?",Teaming,Exploiting,Accepting,Sharing,,4,,,,,,,,1500_questions.txt
704,"The portfolio review board has picked three programs from ten
candidates. What's the next step?",\* Issue Program Management Plan,\* Issue Program Charter,\* Issue Program Mandate,\* Issue Program Benefits Realization Plan,,3,,"Post-selection, a program mandate formally requests the start of the
definition phase.",,,,,,1500_questions.txt
705,Who is least likely to be among your program's stakeholder group?,\* Customer,\* Sponsor,\* PMO,"\* All C-Level Executives (CEO, COO, CFO, CIO, CTO)",,4,,"While all could be stakeholders, C-level executives are less directly
involved compared to PMO, customers, or sponsors.",,,,,,1500_questions.txt
706,"You've taken over Program ABC, a highly visible initiative with ten
project managers, but poor project management practices prevail. What's
your best move?",\* Enroll the team in a three-day project management course,"\* Partner with the PMO to establish and distribute a project management
methodology for strict adherence","\* Consult the customer on expected project management support levels
and adjust accordingly","\* Take no action, leaving it to the project managers",,2,,"Collaborating with the PMO to standardize practices is the most
effective way to improve consistency.",,,,,,1500_questions.txt
707,"During program closure, you notice unspent funds in the budget. What
should you do next?",\* Shift funds to the sustainment budget,\* Distribute them to the team as a thank-you,\* Pass them to the governance board,\* Return them to the sponsoring organization,,4,,"Unused funds should typically be returned to the sponsor unless
otherwise specified.",,,,,,1500_questions.txt
708,Who is tasked with approving a project's closure documents?,Project team members,Project Manager,End user,Sponsor,,4,,,,,,,,1500_questions.txt
709,"For a program with a \$550,000 budget, 25% complete, and \$135,000
spent, what's the cost variance (CV)?",.99,"-\$2,500","\$2,500",1.02,,3,,,,,,,,1500_questions.txt
710,"Your program produces a sellable byproduct that could reduce costs by
\$7,500 monthly. This reflects which positive risk response?",Sharing,Enhance,Exploiting,Accepting,,3,,,,,,,,1500_questions.txt
711,"You're deciding whether to build or buy a program solution. Building
costs \$45,000 initially and \$7,000 monthly to maintain, while a vendor
offers it for \$1,000 upfront and \$9,000 monthly. Should you build or
buy?",Build if you'll use it beyond 22 months,Buy if you'll use it beyond 24 months,Buy if you'll use it beyond 22 months,Build if you'll use it beyond 25 months,,1,,,,,,,,1500_questions.txt
712,Which chart displays activity durations against a timeline?,Pie chart,Scatter chart,Gantt chart,Pareto chart,,3,,,,,,,,1500_questions.txt
713,"You've joined an ongoing program where the previous manager, Mr. Mark,
is transitioning out. During handover, you disagree on the benefits'
clarity for the intended recipients. Defining benefits clearly serves
what key purpose?",\* Highlighting the program's significance,\* Clarifying the program's intended outcomes,\* Justifying program investment,\* Enhancing organizational operations,,2,,Clear benefit definitions articulate what the program aims to deliver.,,,,,,1500_questions.txt
714,"As the UdemyGrowth Program manager, you're ensuring work aligns with the
scope and reviewing inspection processes. If defects are found, they
must be fixed before customer review. What process are you executing?",Quality control,Scope verification,Quality assurance,Planning,,3,,,,,,,,1500_questions.txt
715,"You're weighing whether to build or buy a software solution. Building
costs \$75,000 upfront and \$12,000 monthly, while a vendor offers it
for \$63,000 with \$15,500 monthly support. How long until building
matches the vendor's cost?",Roughly 6 months,Never equivalent to the vendor's cost,About 3.5 months,Around 10 months,,3,,,,,,,,1500_questions.txt
716,"Which document requests a seller to detail a project solution and its
cost?",Proposal,RFP,Bid,Quote,,1,,,,,,,,1500_questions.txt
717,"Your two-year program with a \$1,750,000 budget is at its third
milestone (35% complete) but has spent \$620,000. It should be 40%
complete, raising schedule concerns. What performance issue is evident?","Schedule, as planned value is only \$700,000","Cost, with a cost variance of -\$7,500","Schedule, with an SPI of .88","Cost, with an ETC of \$1,151,429",,3,,,,,,,,1500_questions.txt
718,"Which is not an output of the direct and manage program execution
process?",Results of program work,Program budget,Change requests,Request to terminate the program,,2,,,,,,,,1500_questions.txt
719,"As SRQ Program manager, you've declined several scope change requests.
What must you do with these rejected requests?",Explain the rejection and log it in lessons learned,Notify stakeholders of the rejection,Update stakeholders on the status and log it in the change register,Inform stakeholders of the rejection reasons,,3,,,,,,,,1500_questions.txt
720,"Mary just wrapped up a major program. What should she do with the
program records she created?",Archive them with the program customer,Archive them with the program sponsor,Archive them as organizational process assets,Archive them as enterprise environmental factors,,3,,,,,,,,1500_questions.txt
721,"You're launching constituent projects in your program and need to
authorize project managers to use resources. What document facilitates
this?",Project charter,Project scope statement,Project resource requirements document,Roles and responsibilities chart,,1,,,,,,,,1500_questions.txt
722,"An organization handles programs and projects across industries. What
defines a portfolio?","Total funds invested in programs, projects, and operations",All money invested in the organization,"The coordinated set of related projects, programs, and operations",Any project or program in one industry,,3,,,,,,,,1500_questions.txt
723,"You're planning a new warehouse program and need a document to
officially mark its end. What should your management plan specify?",Final program audit report,Audit of program financials,Lessons learned documentation,Certificate of program completion,,4,,,,,,,,1500_questions.txt
724,Which statement best describes program scope changes?,\* Changes must not disrupt component projects,\* Changes must not affect the portfolio,\* Changes should enhance benefit delivery capabilities,\* Changes are mandatory regardless of outcome,,3,,"Program changes should be seen as opportunities to improve benefit
delivery despite impacts on various elements.",,,,,,1500_questions.txt
725,"A stakeholder group skips program meetings regularly. Which is not a
likely reason?",\* Confidence in program discussions,\* Misaligned expectations,\* Disinterest in the program,\* Not a key stakeholder group,,4,,"Meetings typically involve key stakeholders, so non-attendance likely
isn't due to their status.",,,,,,1500_questions.txt
726,Approving the Program Management Plan is regarded as what?,\* A prerequisite for starting the definition phase,\* A result of the delivery phase,\* An outcome of the initiation phase,\* A product of the definition phase,,4,,The plan is finalized and approved during the program definition phase.,,,,,,1500_questions.txt
727,"Alice, UdemyGrowth Project manager, is closing her project for another
organization under contract. She must review team performance,
deliverables, and secure signoff. Where should she look for guidance?",Project Integration Plan,Project Contract,Project Quality Control procedures,Project Communications Management Plan,,2,,,,,,,,1500_questions.txt
728,"You're crafting the program scope management plan with your team. It
covers many elements except which one?",How quality control fits into the scope,How scope changes are permitted,How the scope is developed,How scope is maintained,,1,,,,,,,,1500_questions.txt
729,"Eric, NQQ Project manager, hired ZAS Corporation, but a change request
ended their involvement despite near completion. Is Eric's organization
obligated to pay ZAS?",Depends on lawsuit outcome,"No, they didn't finish all work",Depends on contract termination terms,"Yes, ZAS didn't end the contract",,3,,,,,,,,1500_questions.txt
730,"You're assigned a new program similar to a past one. Management requests
a cost estimate based on the previous program. What estimation method
are you using?",Bottom-up,Parametric,Analogous,Rough order of magnitude,,3,,,,,,,,1500_questions.txt
731,"You're mentoring John, a new program manager, who's unsure when the team
is acquired in the lifecycle. When does this occur?",Planning,Execution,Monitoring and controlling,Initiation,,2,,,,,,,,1500_questions.txt
732,When is the program manager assigned?,\* Program formulation,\* Program preparation,\* Program delivery,\* Program closure,,1,,"Assignment occurs at the program's outset, during formulation within the
definition phase.",,,,,,1500_questions.txt
733,"At the last steering committee meeting, the program manager shared the
benefits register, showing realized benefits, and was asked to
transition to operations. What's expected in the post-review session?",\* Feedback and lessons learned,\* Earned Value (EV) Report,\* Customer sign-off,\* Benefits Register Updates,,1,,"Feedback and lessons learned are key during closure reviews, unlike EV
reports or updates done earlier.",,,,,,1500_questions.txt
734,"Management is concerned about risks in a new program and asks which
response suits a major risk by outsourcing it to a third party. What's
the best response?",Transference,Mitigation,Avoidance,Sharing,,1,,,,,,,,1500_questions.txt
735,"Which knowledge area ensures all program management domains work
together seamlessly?",Program benefits management,Program management planning,Integration management,Communications management,,3,,,,,,,,1500_questions.txt
736,"Molly, a program manager, is drafting a document outlining the benefits
her program will deliver upon completion. What is she creating?",Program charter,Program benefits realization plan,Program benefits statement,Program scope statement,,3,,,,,,,,1500_questions.txt
737,"Your HNG Program has a \$2,345,900 budget over two years. At 30%
complete with \$789,000 spent, it should be 35% done. What's the
schedule variance (SV)?","-\$85,230","\$821,065","-\$284,100","-\$117,295",,4,,,,,,,,1500_questions.txt
738,"Which change management component evaluates, tests, and logs scope
changes?",Project Management Information System,Integrated Change Control,Scope Verification,Configuration Management System,,4,,,,,,,,1500_questions.txt
739,"Which duration compression method increases risk when applied in a
program?",Lead time generation,Fast tracking,Resource leveling heuristics,Crashing,,2,,,,,,,,1500_questions.txt
740,"The program sponsor thinks the project is underperforming and suggests
stopping it. The program manager is uncertain. What should they do?",\* Follow the sponsor's advice and halt the program,\* Escalate to the governance board for a decision,\* Let the customer decide,"\* Do nothing, leaving it to the sponsor",,2,,The governance board decides on program continuation or termination.,,,,,,1500_questions.txt
741,"A new Governance manager joins your program and plans to assess risks
impacting strategic goals, review KPIs, choose a governance model, then
set standards. How do you respond?",\* He has a solid plan; let him proceed,"\* Suggest this order: 1. Set standards, 2. Pick a model, 3. Review
KPIs, 4. Assess risks","\* Suggest: 1. Set standards, 2. Assess risks, 3. Review KPIs, 4. Pick a
model","\* Suggest: 1. Set standards, 2. Pick a model, 3. Assess risks, 4.
Review KPIs",,2,,"Standards come first, followed by model selection, then KPIs and risks.",,,,,,1500_questions.txt
742,Which activity is least likely during the program formulation sub-phase?,\* Conduct initial risk assessment,\* Perform initial cost estimates,\* Draft the program charter,\* Develop the program management plan,,4,,"Formulation includes business case, roadmap, and charter; the management
plan is developed in planning.",,,,,,1500_questions.txt
743,"Donna, a project manager, is documenting a change management plan to
track and decide on changes. What system oversees this process?",Quality Management System,Change Control System,Project Management Information System,Integrated Change Control System,,3,,,,,,,,1500_questions.txt
744,"Management insists you complete lessons learned documentation for your
program. When is this typically done?",During program execution,At each deliverable,During program closure,During archiving,,3,,,,,,,,1500_questions.txt
745,What does a CPI below 1.0 signify?,Costs exceed budget for work done,Schedule performance is excellent,Costs are below budget to date,Costs match estimates for work completed,,1,,,,,,,,1500_questions.txt
746,When are component status reports typically sent to the program manager?,\* During planning and execution,\* During planning and monitoring,\* During monitoring and closure,\* During execution and monitoring,,4,,Status reports occur during execution and monitoring phases.,,,,,,1500_questions.txt
747,"Harriet manages a visible program with negative stakeholders. What's the
best communication method to address their concerns?",Face-to-face,Many-to-many,Ad hoc conversation,One-to-many,,1,,,,,,,,1500_questions.txt
748,Which scenario best illustrates transference?,Hiring a trainer for dangerous tasks,Partnering with a competitor for an opportunity,Meeting a deadline for government review,Hiring a consultant for unfamiliar technology,,4,,,,,,,,1500_questions.txt
749,"A company evaluates programs by benefit-cost ratios: 2.2, 1.3, 0.8, 1.6.
Which is most likely chosen?",\* 2.2,\* 1.3,\* 0.8,\* 1.6,,1,,"Higher BCR indicates better value, so 2.2 is preferred.",,,,,,1500_questions.txt
750,"You're identifying stakeholders for a software program affecting
multiple departments. Sarah, a key stakeholder, doubts its scope and
prefers separate apps. How do you classify her?",Active,Negative,Positive,Passive,,2,,"Negative stakeholders resist or oppose the project's goals or scope,
requiring careful engagement and management.",,,,,,1500_questions.txt
751,"A project undergoes an audit to confirm adherence to company policies.
Which process is taking place?",Audit Schedule,Plan Quality Management,Control Quality,Manage Quality,,4,,,,,,,,1500_questions.txt
752,"You've joined Grapevine Vineyards as a contract project manager to
oversee procurement planning tasks, including doubling fermenting tanks,
expanding the warehouse with strict temperature controls, and designing
a visitor center with a tasting room and gift shop. The tasting room's
bar requires specialty marble, sourced from only two global locations,
per Grapevine's directive. Management estimates a three-year timeline.
What factors might your concern about the marble's availability affect?
(Select three.)",The project timeline could be impacted by this concern.,The make-or-buy decision might hinge on this issue.,Your company's business cycle could influence this matter.,The budget determination process might be affected by this.,,,"1,2,3","The project schedule and procurement planning are intertwined. The
marble's scarcity could sway make-or-buy choices and be influenced by
business cycles, affecting resource availability and timing.",,,,,,1500_questions.txt
753,"Dinah manages a project a few months in, poised to enter its first
execution phase. During planning, her sponsor flags overlooked
stakeholders. What's her next step?",\* Kick off execution while scheduling a stakeholder meeting.,"\* Promptly reach out, apologize, and evaluate the overlooked
stakeholders.",\* Assess if the oversight has harmed project goals.,\* Arrange a stakeholder briefing to update them.,,2,,"Identifying all stakeholders early is critical, but oversights happen.
Dinah should swiftly address this by contacting them, expressing regret,
and analyzing their stance to mend relations and align expectations.",,,,,,1500_questions.txt
754,"David, a seasoned project manager at a prominent publishing house, often
works with assertive sponsors. At a recent meeting, his sponsor erupted
over a delay caused by a key team member's illness, hurling insults at
David's competence. Remaining composed, David promised a contingency
plan and suggested a private chat, dismissing the team. What core value
did he exemplify?",Respect,Fairness,Honesty,Responsibility,,1,,"Respect entails maintaining professionalism and self-control, even under
pressure. David managed his reaction, not others' actions.",,,,,,1500_questions.txt
755,"In daily planning meetings, a project manager and a business analyst
frequently clash more than others. Which is LEAST likely to spark their
disputes?",Personality differences,Work style preferences,Limited resources,Task scheduling priorities,,1,,"Common conflict triggers include work styles, resource scarcity, and
scheduling, not typically personality clashes alone.",,,,,,1500_questions.txt
756,"Trista is evaluating major risks in a construction project, having
assessed their impacts, categorized them, and scored their risk ratings.
What's her next move?",\* Monitor and review risks.,\* Identify additional risks.,\* Address risk treatments.,\* Evaluate the risks.,,4,,"After analysis, risk evaluation compares results to criteria, deciding
further actions. Trista's already identified and assessed risks;
evaluation precedes treatment.",,,,,,1500_questions.txt
757,"A project manager navigates a project shrouded in uncertainty, with
scope clarity emerging over time. How should they frame an iterative
approach to the team?","Expect short feedback cycles and backlog reprioritization across
iterations.","Work will evolve gradually, with quarterly feedback loops.","Features will be locked upfront, with work breakdown refined later.",The team will tackle backlog from the bottom up to adapt priorities.,,1,,"Iterative methods thrive on quick feedback and backlog adjustments,
enabling rapid adaptation to changes.",,,,,,1500_questions.txt
758,Benchmarking is a technique employed in which process?,Inspections,Root cause analysis,Plan Quality Management,Perform Quality Control,,3,,"Benchmarking compares practices to peers, aiding in setting standards
and spotting improvements, key to planning quality.",,,,,,1500_questions.txt
759,"How many communication channels exist with 35 stakeholders involved in
your project?",595,600,613,630,,1,,"Using the formula n(n-1)/2, where n is 35 (including you), it's 35\*34/2
= 595 channels.",,,,,,1500_questions.txt
760,"A project manager notices a team member bypassing them to update the
client on deliverables and progress. What's the best response?",Share the resource breakdown structure (RBS) with the team member.,Raise it at the next progress meeting.,Present the RACI chart to clarify roles.,Email the client daily with team updates.,,3,,"The RACI chart defines who's responsible, accountable, consulted, and
informed, curbing unauthorized communication.",,,,,,1500_questions.txt
761,"Gary, scrum master for a software project, must deliver an MVP every
four-week sprint. Leading a 15-member team, eight with prior experience,
he faces a looming deadline in three days. The team doubts they'll hit
it. What likely caused this delay?",\* The sprint was too brief.,\* Too many team members were assigned.,\* The project scope exceeded team capacity.,\* Excessive small user stories muddled client needs.,,2,,"Scrum teams ideally range from 3-9 members, excluding scrum master and
product owner. Fifteen complicates communication, likely slowing
progress.",,,,,,1500_questions.txt
762,"In a functional organization, managing multiple projects often falters
due to what primary challenge?",The project manager's authority level,Competing project priorities over scarce resources,Team focus on functional roles over project goals,Need for informal conflict resolution skills,,2,,"Resource conflicts escalate when limited assets are split across
projects, a hallmark of functional structures.",,,,,,1500_questions.txt
763,"As scrum master in a newly agile-adopting firm, you're coaching on roles
and processes. Who primarily clears general team blockers in scrum?",\* The scrum master,\* The development team,\* The product owner,\* The sponsor,,1,,"In scrum, the scrum master tackles impediments, freeing the team to
focus on delivery.",,,,,,1500_questions.txt
764,"A project manager oversees a project in a remote international site. A
national event during execution raises concerns of negative impacts.
After consulting the program manager, resources for a contingency plan
are secured. What strategy is this?",Escalate,Transfer,Mitigate,Accept,,1,,"Escalating to the program manager for resources reflects an escalation
strategy.",,,,,,1500_questions.txt
765,"A complex project nears closure with mixed team experiences.
Stakeholders may not collaborate again. How should the project manager
fulfill the lessons learned requirement?",Log only negatives for future alternatives.,Host a session on positives alone.,Gather phased feedback from all stakeholders.,Document both positives and negatives using issue logs.,,4,,"Capturing both successes and challenges via logs ensures comprehensive
lessons learned.",,,,,,1500_questions.txt
766,"Kenneth, product owner at a risk-averse firm, needs to risk-adjust the
backlog. What's his first key data point?",\* Full user story details,\* Expected customer numbers in two years,\* Team delivery costs,\* Projected financial return,,4,,"Financial return drives risk-adjusted prioritization in a cautious
company.",,,,,,1500_questions.txt
767,"Which process involves a project manager and risk manager prioritizing
project risks?",Identify Risks,Perform Qualitative Risk Analysis,Perform Quantitative Risk Analysis,Plan Risk Management,,2,,"Qualitative analysis prioritizes risks by likelihood and impact for
further action.",,,,,,1500_questions.txt
768,"You lead a thriving project management group of vocal consultants. What
leadership style suits them best?",\* Coaching for ongoing growth,\* Transactional with rewards for performance,\* Autocratic for results-driven focus,\* Hands-off with high trust,,4,,"A successful, opinionated group thrives under a trusting, hands-off
approach.",,,,,,1500_questions.txt
769,"The project scope statement and resource calendars feed into which Time
Management process?",Sequence Activities,Estimate Activity Resources,Develop Schedule,Control Schedule,,3,,These inputs help shape the project schedule.,,,,,,1500_questions.txt
770,"Christopher's horticultural firm aims to swap plastic pots for
biodegradable ones in nine months, backed by \$10M from upper
management. How should he deepen ties with them?",\* Manage closely,\* Monitor,\* Keep satisfied,\* Keep informed,,1,,"High-power, high-interest stakeholders like management need close
engagement.",,,,,,1500_questions.txt
771,"Dave, managing a project at LGN, Inc., finds Sam's efficiency lagging
despite improved communication post-review. What should Dave do?",\* Wait for the next evaluation.,\* Tell peers Sam's slow pace is due to meticulousness.,"\* Coach Sam on communication and efficiency while assessing project
status.",\* Note his communication gain but flag his slowness.,,3,,Dave must boost Sam's skills and monitor project impact proactively.,,,,,,1500_questions.txt
772,"In a project's final stretch, the manager compares deliverables to a
past project, spotting repeated errors. What needs improvement?",Lessons learned techniques,Scope statement clarity,WBS creation,Quality control application,,1,,Better lessons learned would prevent recurring mistakes.,,,,,,1500_questions.txt
773,"A stakeholder demands a valuable feature addition without altering
scope, budget, or timeline. Approving it extends both. What process was
skipped?",Change management,Schedule and cost management,Product scoping,Requirements definition,,1,,Change management ensures scope shifts are formally assessed.,,,,,,1500_questions.txt
774,"Which interpersonal and team skills can a project manager use to lead
the team? (Select three.)",Conflict management,Emotional intelligence,Influencing,Project management information system,,,"1,2,3","These skills---conflict management, emotional intelligence, and
influencing---drive team success.",,,,,,1500_questions.txt
