id,statement,option1,option2,option3,option4,correct_answer,explanation,source
272,"Your project team are protected by a union agreement. You notice that
they don't know how to use the product you are improving, are slow to
respond and regularly complain about the work. Your project sponsor has
had enough and threatens to shut the project down if improvements can't
be made. What will you do next?","Set up a new project with different team members and transfer the
project work to that team.","Set a clear project purpose and vision and pair your team with the
customer to show them how they are making a positive difference.","Tell your project team that they will lose their jobs in they don't
improve the speed of their work.","Create a project Gantt Chart schedule and burndown chart so the project
work is transparent to all.",2,"This question calls for leadership skills, where setting a vision and
purpose and showing your team how they are making a difference can
increase their intrinsic motivation. Transferring to another team in the
same company may risk the same result, and threatening your team may
embed their behaviour further. (PMBOK Guide) -- Seventh Edition, 2021,
p24,25, ""Leadership Skills: Establishing a Vision; Motivation""",500_questions.txt
273,"During a key scope meeting, an argument arises. The business manager
accuses the technology manager of not delivering to their needs on past
projects, and the technology manager accuses the business manager of
changing requirements that impact the delivery schedule. The meeting is
at risk, with the stakeholders being closed off to any further
discussion. What will you do next?","Take the side of the technology manager, as scope that impacts delivery
should be controlled.","Take the side of the business manager, as we should always deliver to
the customer's specification.","Facilitate to keep communication respectful, focus on the issue in the
present and search for alternatives together.","Ensure they both agree to the change control process to avoid
disagreements in the future.",3,"Not all conflict is negative. How conflict is handled can either lead to
more conflict or to better decision making and stronger solutions. The
PMBOK Guide notes open and respectful communication, focusing on the
issue not the person, the present not the past, and searching for
alternatives together. (PMBOK Guide) -- Seventh Edition, 2021, p29,
""Conflict Management""",500_questions.txt
274,"You are working on a project where the project team is completely
distributed around the country in multiple sites, including working from
home. Some of the project team members have not been able to contribute
to the project, and there are concerns from the program that the project
will fall behind. What will you do next?","Raise a request to the program to co-locate all your project team
members as soon as possible.","Proceed with daily stand-ups and working group meetings with any team
members in your area.","Set team leaders for each area around the country, to report back to you
as the centralised project leader.","Use technology to maintain ongoing contact with audio and video for
meetings, with a team web site to keep all project information
available.",4,"This question is on distributed project teams. To improve you can use
audio and video capabilities for meetings, use technology (including
messaging) for ongoing contact, build in time to get to know remote team
members, and have an open project site for information. (PMBOK Guide) --
Seventh Edition, 2021, p30, ""Distributed project teams"".",500_questions.txt
275,"You are initiating a project to a sales team where the process will
change significantly, even though the outcome of a completed sale will
remain the same. The functional manager is concerned about the change
and any disruption it might bring. What will you do next?","Kick off the project with multiple deliveries to deliver small parts and
reduce the change impact.","Kick off the project work with a single delivery at the end of the
project when the process change is complete.","Kick off the project with continuous delivery in mind, to ensure fast
value to the business.","Kick off the project using periodic deliveries, delivering value as it
is ready.",2,"This question covers delivery cadence and their various benefits. A
process re-engineering project may not have any deliveries until near
the end of the project when the new process is rolled out and ready.
(PMBOK Guide) -- Seventh Edition, 2021, p34, ""Delivery Cadence""",500_questions.txt
276,"You are working on a project where the requirements are clear but the
solution ideas are uncertain. The product owner and the technical
experts can't be sure which ideas will work in practice, and which ones
won't. The organisation cannot afford to get this project wrong, as they
have previously made mistakes and customers are starting to leave. What
will you do next?",Use an Incremental development approach for the project.,Use an Iterative development approach for the project.,Use a Predictive development approach for the project.,Use a hybrid development approach for the project.,2,"For development approaches, an iterative approach is used when you need
to capture ideas that might change, while still delivered in one
release. Incremental progressively delivers features (or increments),
Predictive plans everything up-front, and hybrid is a combination of
predictive and adaptive. (PMBOK Guide) -- Seventh Edition, 2021, p37,
""Development approaches."" Agile Practice Guide, 2017, p18,
""Characteristics of project lifecycles.""",500_questions.txt
277,"You are working on a new product for your organisation where the
requirements are complex and are likely to change a few times as the
project progresses. The organisation also needs usable parts of the
product to be released as soon as possible to try and capture some of
the market they are aiming for, away from their competitors. What will
you do next?",Recommend an Iterative development approach.,Recommend a Predictive development approach.,Recommend an Adaptive development approach.,Recommend a Hybrid development approach.,3,"Adaptive approaches are useful when requirements are subject to
uncertainty and change. A clear vision is established at the start of
the project, and initial known requirements are refined or replaced in
accordance with user feedback or unexpected events. (PMBOK Guide) --
Seventh Edition, 2021, p38, ""Adaptive approach""",500_questions.txt
278,"A new project has been kicked off in your organisation due to a recent
government inquiry into your industry, which found multiple processes
with significant regulatory oversight that need to change. The inquiry
ordering these changes has given you a due date of 10 months' time
before you start incurring penalties. What will you do next?","Proceed, with an Agile development approach to deliver change as quickly
as possible.","Proceed, with a Hybrid development approach to respond to changes while
planning up front.","Proceed, with a Predictive methodology to ensure quality control.","Proceed, with an Iterative methodology to improve using feedback.",3,"In considerations for selecting a development approach, environments
that have significant regulatory oversight may need to use a predictive
approach due to the required process, documentation and demonstration
needs. (PMBOK Guide) -- Seventh Edition, 2021, p40, ""Considerations for
selecting a development approach.""",500_questions.txt
279,"Your organisation is moving to an Agile way of work. Your project team
are strongly opposed to using Agile as they have been burned using
iterations, when executives used the team velocity to try and force the
team to work faster instead of keeping a sustainable pace. What will you
do next?","Add extra resources to your team to deliver faster and avoid executives
getting involved.","Proceed with a predictive development approach, and deal with the
consequences later.","Ask your team to work with Agile, velocity and iterations despite their
hesitations.","Suggest the team uses flow-based scheduling, with a Kanban board for
visual work.",4,"Kanban is one of the largest parts of Agile approaches, aside from other
major parts such as Lean, XP and Scrum. A flow-based scheduling approach
does not use sprints, lifecycles or velocity but optimises deliveries
based on resource capacity, and minimises waste such as
context-switching and hand-offs. (PMBOK Guide) -- Seventh Edition, 2021,
p45, ""Flow-based scheduling.""",500_questions.txt
280,"Your team have not worked on projects before, and don't know about
waterfall, agile, or any of the different models. Your project may also
have requirements that are certain or uncertain, with varying levels of
risk, so are not sure which approach to use as you begin this new
project. What will you do next?","Use Waterfall and plan everything up front, so the team have more
stability.","Use general phase definitions such as Feasibility, Design, Build, Test,
Deploy and Close.","Use Agile to ensure you can respond to change while your team's
capability increases.","Don't use any project approach -- it doesn't matter as long as the work
is getting done.",2,"All projects will go through the general phases of Feasibility, Design,
Build, Test, Deploy and Close. Waterfall projects will do these in
sequence once, while Agile projects will do these multiple times, for
each feature or increment. The underlying principle remains the same, so
it is a good place to start. (PMBOK Guide) -- Seventh Edition, 2021,
p42, ""Lifecycle and phase definitions\""",500_questions.txt
281,"You a project manager in an organisation with a directive Project
Management Office, and are currently in between projects. The PMO asks
you to prepare for an upcoming project in the accounting area by meeting
with the functional manager there. You have no team, no scope or
requirements and no timeline as yet. What will you do next?","Ask the functional manager for their wish-list of improvements, so you
can take these to your PMO.","Create a project management plan so the project, scope, budget and
schedule are more clear.","Create a small backlog of work and start your first sprint, then
progressively update the backlog as the project progresses.","Progressively elaborate the vision statement and project charter to
define a coordinated approach.",4,"Before initiating a project of any sort, we start with a vision
statement, project charter or business case in order to identify a
co-ordinated path to achieve the desired outcomes. (PMBOK Guide) --
Seventh Edition, 2021, p52, ""Planning Overview""",500_questions.txt
282,"You are working on a project where part of the project delivers a high
value, high risk component. Another part of the project delivers a
routine change to the system. Your project sponsor wants to gain the
business value as quickly as possible, but your project team want to
start with the work they are familiar with first. What will you do next?",Prioritise the high risk items at the end of the project.,Prioritise the high risk items at the start of the project.,"Use an incremental approach and deliver part of the routine and high
risk work in each sprint.","Plan out the work in detail and secure a scope baseline, with formal
change controls to reduce uncertainty.",2,"This question refers to the concept of the last responsible moment. Work
that is novel or risky can be prioritised at the start of the project to
reduce uncertainty with the project scope before a large investment has
been made. Routine work can be delayed until the cost of further delay
would exceed the benefit. (PMBOK Guide) -- Seventh Edition, 2021, p54,
""Delivery"", paragraph 3",500_questions.txt
283,"You are working on an agile project where the functional area you are
delivering to only has a high level idea of the system requirements they
will need. The functional manager suggests a Work Breakdown Structure,
however your team feel that is more for a predictive (waterfall)
delivery approach. What will you do next?","Use and create a WBS anyway, as it is just a tool.","Use rolling wave planning, and keep the work at a high level until you
are ready to work on it, when you can plan in detail.","Note the high level themes or epics, decompose them into features, and
again into user stories.","Ask the functional area for more detailed requirements before the
project begins.",3,"This question refers to ""decomposition"" or breaking down the work. We
could use a WBS, or rolling wave planning, but for an incremental
approach breaking down the work from epics to features to user stories
is a form of decomposition that fits the delivery approach. (PMBOK
Guide) -- Seventh Edition, 2021, p54, ""Delivery"", paragraph 3",500_questions.txt
284,"You are at the beginning of planning a new project, and have researched
and gathered the requirements from the area, broken them down into
deliverables and activities, which you believe could take 26 weeks to
deliver. The project sponsor is asking you for an estimate on how long
the project will take. What will you do next?",Tell the project sponsor 26 weeks.,"Tell the project sponsor that you will use an iterative approach, where
value is delivered until the project stops.",Tell the project sponsor approximately 24 to 28 weeks.,Tell the project sponsor approximately 20 to 45 weeks.,4,"This question is related to estimation and range. Estimates should have
a broad range at the start of the project, starting at -25% to +75% when
there is not much information. Once the project team has a smooth
delivery cadence and experience in the product, a smaller range such as
-5% to +10% can be used. A 0% range is when everything is known -- and
the product has been delivered. (PMBOK Guide) -- Seventh Edition, 2021,
p55, ""Estimating, Range"".",500_questions.txt
285,"After gathering your project requirements, project scope, and breaking
it down into activities, you need to estimate the project schedule with
your team. After some analysis and discussion, your team come up with a
range of 53 to 75 days assigned across all tasks. What will you do next?","The estimate is high accuracy but low precision -- ask the team to come
back with a more precise estimate.","The estimate is low accuracy but high precision -- ensure the estimates
become more accurate as the project unfolds.","The estimate is in high confidence but low precision -- proceed as is
and adjust using an incremental approach.","The estimate is in low confidence but high accuracy -- allow the team to
become more confident as the project unfolds.",2,"This question is on estimates and their accuracy. The lower the
accuracy, the larger the potential range in values. Precision is
different from accuracy, as it refers to the exactness of the estimate,
for example ""2 days"" is more precise than ""sometime this week"". (PMBOK
Guide) -- Seventh Edition, 2021, p54, ""Estimating: accuracy, precision,
confidence""",500_questions.txt
286,"You are working on a business case where you know that the industry is
undergoing a significant change at the moment, and there could be many
different impacts to your project benefits before it is delivered
completely. The project sponsor asks you for the best estimate of
benefits you can give under the circumstances. What will you do next?",Ask your team for a probabilistic estimate.,Ask your team for a deterministic estimate.,Ask your team for an absolute estimate.,Ask your team for a relative estimate.,1,"Probabilistic estimates include a range of estimates, along with the
associated probabilities within the range such as a confidence level or
a probability distribution. If the estimate is uncertain, this is the
best approach. Deterministic is a number, absolute is specific, actual
numbers and relative estimates are shown in comparison to other
estimates. (PMBOK Guide) -- Seventh Edition, 2021, p57, ""Presenting
estimates.""",500_questions.txt
287,"You have noted nine epics for delivery as part of your most recent
project. Your team have broken down these epics into user stories, and
would like to see the effort involved for these deliverables. You ask
your team to find the smallest user story, size it with a ""1"", and then
determine the size of the other cards based on how they compare to the
original card. What approach are you taking?",Relative estimating with your team.,Deterministic estimating to determine the effort.,Absolute estimating to get an estimate with absolute certainty.,Probabilistic estimating with the highest probability items.,1,"This question is about estimating, and making an estimate in comparison
to other estimates is relative estimating. (PMBOK Guide) -- Seventh
Edition, 2021, p57, ""Relative Estimating""",500_questions.txt
288,"You are working on a project where a competitor is also working on a
similar feature, and being first to the market will have a significant
impact on this year's profit. Your product owner would like to measure
how quickly story cards are being completed, once they start being
developed. What will you do next?",Check the Lead time of the story cards.,Check the Gantt chart with assigned schedule activities.,Check the Cycle time of the story cards.,Check the schedule network and precedence diagram.,3,"Cycle time is the total elapsed time it takes one unit to get through a
process. Lead time is the time from when the customer makes the order
(or the requirement is noted) to the time the item is delivered or
released. Schedule network diagram is useful for finding the Critical
Path, and precedence diagramming is used to find what deliverable or
activity relies on others. (PMBOK Guide) -- Seventh Edition, 2021, p58,
""Flow-based estimating""",500_questions.txt
289,"You are working on a project that has recently moved to a more agile way
of work. The team have not completely taken on the Scrum approach
however, and are comfortable working with a more flow-based approach
moving user stories across a Kanban board. You are wanting to get an
estimate on how much work can be completed in the next three months,
based on the team's existing progress. What will you do next?",Multiply the velocity by the number of remaining user stories.,"Multiply the throughput of the team for the last month, by three.",Multiply the lead time by the schedule performance index.,Multiply the planned value by the actual value.,2,"Scrum uses velocity -- Kanban or Flow-based estimates are developed
using cycle time and / or throughput. Cycle time is the total elapsed
time it takes one unit to get through a process. Throughput is the
number of items that can complete a process in a given amount of time.
(PMBOK Guide) -- Seventh Edition, 2021, p58, ""Flow-based estimating.""",500_questions.txt
290,"Your product owner wants to bring the next feature forward so that it is
done in parallel to the current feature, but is still released in the
existing feature order. You make the necessary adjustments to the
product backlog, and decide to adjust the product roadmap, which you
have visualised as a Gantt chart. What will you do next?","Use a schedule lead on the feature, and change the feature to
finish-to-start","Use a schedule lag on the feature, and change the feature to
start-to-start","Use a schedule lead on the feature, and change the feature to
finish-to-finish","Use a schedule lag on the feature, and change the feature to
start-to-finish",3,"A schedule lag is moving an item back, a schedule lead is bringing an
item forward. Precedence diagramming method states for Finish-to-Finish
items, the next item cannot finish until the previous item has finished.
This allows the items to be worked on in parallel, while still keeping
the same delivery order. (PMBOK Guide) -- Seventh Edition, 2021, p59,
""Schedules; Lead, Lag."" (PMBOK Guide) -- Sixth Edition, 2017, p180,
""Precedence diagramming method""",500_questions.txt
291,"You are working on a project where you have been completing the
deliverables in sequence, and the project work is starting to fall
behind. The project sponsor asks you to speed up the work and reduce the
time for the project to be delivered, but also makes it very clear that
there is no more money to use when speeding up the work. What will you
do next?",Apply leads and lags to your project schedule.,Apply fast tracking to your project schedule.,Apply schedule crashing to your project.,Apply resource levelling to your project.,2,"Project fast tracking is a schedule compression method in which
activities or tasks that are normally done in sequence are performed in
parallel. Schedule crashing includes adding people to activities,
working overtime, or paying to expedite deliveries. (PMBOK Guide) --
Seventh Edition, 2021, p59, ""Schedules; Fast tracking, crashing.""",500_questions.txt
292,"After reviewing your project schedule you notice you are behind by three
weeks and the schedule will need to be compressed. Your project does not
have enough budget to crash the schedule. You check with the lead for
each area and review the schedule as to whether they can fast track
their deliverables. What will you do next?",Fast track team items with discretionary dependencies.,Fast track team items with mandatory dependencies.,Fast track team items with external dependencies.,Fast track team items based on industry regulation.,1,"When compressing the schedule, some activities cannot be fast-tracked
because of the nature of the work, others can. A discretionary
dependency is based on project preferences, and may be modifiable.
External and Mandatory dependencies usually cannot be modified. Internal
dependencies may be modifiable, except when based on specific regulatory
needs. (PMBOK Guide) -- Seventh Edition, 2021, p60, ""Four types of
dependencies.""",500_questions.txt
293,"Your team are new to agile, and had previously been working with
Waterfall. Your key customer asks you for a project schedule. The
project team believes using a project schedule is from the old waterfall
way of working and they shouldn\'t have to create one. What will you do
next?","Create a project Gantt chart to visualise the activities within the
project.","Determine the project's planned versus actual value, instead of working
with a schedule directly.","Advise the customer that we don't need to plan ahead in an adaptive way
of work.","Ask your team to develop a high level release plan like a product
roadmap, showing the features to be included in each release.",4,"Adaptive schedule planning uses incremental planning. A high level
release plan is developed that indicates basic features and
functionality to be included in each release. (PMBOK Guide) -- Seventh
Edition, 2021, p61, ""Adaptive schedule planning.""",500_questions.txt
294,"You are working in a project team that has recently moved to an Agile
way of work. Your business analysts want to gather the requirements,
solutions, match them to the scope and do a WBS for the whole
deliverable. Your product owner says this will take too long, and is not
agile enough for their needs. What will you do next?","Ask your team to review the scope management plan for the proper
process.","Break the deliverable down into smaller pieces so you can deliver those
faster.","Ask your team to timebox work on the highest priority items in the
backlog, update the estimates then reprioritise as necessary.","Review the project charter for the high level scope, and use this to
begin delivery quickly.",3,"Adaptive approaches often use timeboxes. The work is based on a
prioritised backlog. The project team determines the amount of work they
can do in each timebox, estimates the work and self-manages to
accomplish the work. At this point, the backlog may be reprioritised for
the next timebox. (PMBOK Guide) -- Seventh Edition, 2021, p62,
""Timeboxes""",500_questions.txt
295,"When reviewing the current progress with your project sponsor, they
notice that the system solution is missing a critical piece that will
impact the benefit of the project. The project sponsor approves this
scope. Your project has a Planned Value of \$520,000 and an Actual Cost
of \$535,000. What will you do next?","Work with the PMO to unlock the project management reserves for the
extra work.","Ask the Product Owner to reprioritise the backlog and see if the new
work will fit.",Perform the work within your normal budget as your project is on track.,"Raise a change request for the changes and gain approval from the Change
Control Board.",1,"Management reserves are set aside for unexpected activities related to
in-scope work. Depending on the organisation's policies, management
reserves may be managed by the PMO at the program or portfolio level.
(PMBOK Guide) -- Seventh Edition, 2021, p62, ""Budget""",500_questions.txt
296,"You are in the planning stages of an Agile project where the functional
manager and senior users have provided the high level requirements and
scope. You have been asked to put together a project team that will be
able to deliver quickly. What will you do next?","Select project members from each city to ensure diversity of knowledge
within the team.","Put together a resource management plan outlining the resources
required.","Ask your PMO for current available resources and assign them to the
work.","Select a small team that can work in the same area so they can solve
problems as they arise.",4,"When planning for the team, the project manager considers the ability
and necessity for them to work in the same location. Small project teams
that can work in the same room are able to take advantage of osmotic
communication and can solve problems as they arise. (PMBOK Guide) --
Seventh Edition, 2021, p64, ""Project Team Composition and Structure""",500_questions.txt
297,"You are putting together a project team to deliver an accounting system
to offices around the country. The accounting system you are moving to
has not been used by anyone in your organisation before. The project is
quite high risk, and the delivery needs to be right the first time. What
will you do next?","Select a small team that can work in the same area so they can solve
problems as they arise.","Use a predictive project approach and source part of your team
externally if they have skillsets in the new system.","Train existing internal staff in the new system then have them work on
the project.",Perform a make or buy analysis on the different software options.,2,"The benefit that outside skills bring to the project are weighed against
the costs that will be incurred. With higher risk and a single delivery,
a waterfall or predictive project delivery approach is best. (PMBOK
Guide) -- Seventh Edition, 2021, p63, ""Project Team Composition and
Structure""",500_questions.txt
298,"You are putting together a project plan for a change that affects nearly
ten thousand stakeholders in your organisation. You have identified the
affected stakeholders, analysed and prioritised them, and are putting
together a communication plan to ensure the right engagement is made.
What will you NOT include in your plan?",Why should information be shared with stakeholders?,What is the best way to provide information?,How can they make changes to the communication plan?,When and how often is information needed?,3,"Planning communication for the project entails considering the
following: Who needs information? Who has the information needed? Why
should information be shared with stakeholders? When and how often is
information needed? What is the best way to provide information? What
information does each stakeholder need? (PMBOK Guide) -- Seventh
Edition, 2021, p64, ""Communication""",500_questions.txt
299,"You put together a resource plan for a large amount of physical
inventory to be purchased from overseas. You ordered the inventory
during project execution, however global supply chains were impacted and
the shipment was delayed by three months, significantly impacting your
project. What should you have done differently?","Hired a resource manager to take care of the resource tasks on your
project.","Planned strategically about the timing from order to delivery to usage,
managing resource risks and their responses.","Ensured a means to track the inventory from arrival on site to the
delivery of an integrated product.","Sourced the inventory locally to reduce the impact of global supply
chains.",2,"Project teams whose projects require significant physical materials
think and plan strategically about the timing from order, to delivery,
to usage. This can include evaluation of bulk ordering versus the cost
of storage, global logistics and more. (PMBOK Guide) -- Seventh Edition,
2021, p65, ""Physical resources.""",500_questions.txt
300,"You are half way through your agile project as a Product Owner, when
there is a significant change to the project scope after it was found
that the project would not be able to deliver the benefits it had
promised. You check your project budget and there are contingency and
management reserves available. What will you do next?",Take the project scope change to the change control board for approval.,"Use the available contingency reserves to make the appropriate change to
project scope.",Review the change management plan for the change control process.,"Reprioritise the product backlog, including the new scope and begin work
on the highest priority straight away.",4,"Changes may occur as a result of a risk event, environment change, a
deeper understanding of requirements, customer requests and more.
Project teams should prepare a process for adapting plans throughout the
project. In an Agile team, this may take the form of reprioritising the
backlog instead of a change control process with project baselines.
(PMBOK Guide) -- Seventh Edition, 2021, p66, ""Changes\""",500_questions.txt
301,"You have recently taken over on a project that is behind schedule, and
slightly over budget. You raise an issue at the steering committee
meeting, where they advise that there is no additional funding available
and the project must finish on time. You believe you can optimise the
project process to try and bring the project back on track. What will
you do next?",Add additional people and resources to the project to speed it up.,"Utilise the project's contingency reserve to source the resources you
need.","Perform project activities in parallel, completing multiple items at
once instead of one at a time.","Use Lean production methods to reduce non-value add activities, and
retrospectives for the team to suggest improvements.",4,"Ways of optimising the project processes for the environment include
Lean production methods, retrospectives or lessons learned, and finding
where the next best funding is spent. Adding people and resources may
not always improve things -- it can also increase the complexity and
communication channels. (PMBOK Guide) -- Seventh Edition, 2021, p71,
""Project Processes""",500_questions.txt
302,"Your Project Management Office (PMO) is optimising all the projects
within their portfolio. They ask for your advice in tracking the type of
work each team member is doing and how long it takes, suggesting that
they categorise and record their work in addition to the work itself.
What will you do next?","Ask your team to record and categorise their work, as gathering project
data is important.","Recommend an automated reporting tool where possible, as categorising
their work is NVA.","Recommend an automated reporting tool where possible, as recording their
work is VA.","Ask your team to ignore the request and focus on delivering customer
value only.",2,"The time taken to track or record time can be viewed as ""non-value
added"" work, that does not directly benefit the output or the receiving
customer. We should respect the PMO request, but in addition to being
efficient, processes should be effective. (PMBOK Guide) -- Seventh
Edition, 2021, p72, ""Project Processes""",500_questions.txt
303,"You are working on an agile project as a scrum master, where the
functional manager has worked with some people in your development team
before. She approaches them directly to see if they can add a feature to
the product in the current sprint. What will you do next?",Adjust the sprint backlog to allow for the additional feature.,Adjust the product backlog to add the customer requirement.,"Ask the manager to speak with the Product Owner for product priorities,
then protect the team from direct requests in the future.","Ask the manager to create a change request so it can go through the
proper process.",3,"Project Managers have a responsibility for assessing and balancing
project team focus and attention. This may involve protecting the team's
production capability -- their team health and satisfaction. In Agile,
this also means being a diversion shield for the team and removing
blockers that get in the way of them making progress in their work.
(PMBOK Guide) -- Seventh Edition, 2021, p73, ""Maintaining Project Team
Focus""",500_questions.txt
304,"Part of your project management plan is a detailed communications plan,
which has the stakeholders on the project, their communication needs,
and how information will be communicated. While this is being signed off
by the project sponsor, you receive many ad-hoc requests for information
from new stakeholders. What will you do next?","Review the communications management plan to include the stakeholders,
the information they need and their communication preferences.","Create an information radiator and ask the stakeholders to pull the
information they need.","Ignore the new requests, as you have captured all the stakeholders you
need to in your plan.","Ask the new stakeholders to review your communications management plan
to see how you are distributing information.",1,"Once collected, information is distributed as indicated in the project
management communications plan. An abundance of ad-hoc communication
requests may indicate that the communication planning was not sufficient
to meet stakeholder needs -- it is a good idea to review it. (PMBOK
Guide) -- Seventh Edition, 2021, p72, ""Project Communications and
Engagement""",500_questions.txt
305,"You are working on a high value construction project to include
smart-home components within multi-million dollar buildings. After
completing a make-or-buy analysis, you find that it will cost \$700,000
to make the new system, or \$500,000 to buy it from a vendor. You
prepare a procurement management plan to purchase it. What will you do
before conducting a procurement?","Work with your project team to complete as much of the system in-house
as possible.","Work with contracting professionals to develop RFP, SOW, and terms and
conditions.","Adjust your stakeholder register to include the new vendor, and add the
scope to your work breakdown dictionary.","Work with your project team to develop an RMP, SMP, and list of
resources.",2,"Prior to conducting a procurement, the project manager and technically
qualified project team members work with contracting professionals to
develop the Request for proposals (RFP), Statement of Work (SOW), terms
and conditions, and other necessary documents to go out to bid. (PMBOK
Guide) -- Seventh Edition, 2021, p74, ""Working with Procurements""",500_questions.txt
306,"A missing item has been uncovered in the project scope that your project
team cannot deliver. The item is not complex but you are unsure of which
vendors might be able to provide it. You have already reviewed your
Procurement Management Plan and are ready to move to source selection
and choose a vendor that will meet your needs. What will you do next?","Prepare a Request for Proposal for vendors to provide a solution to your
needs.","Prepare a Request for Quote to determine the best price from the
vendors.","Prepare a Request for Information to gather more information and viable
sources from the market.","Review the procurement management plan for your project's procurement
process.",3,"A Request for Information is used to gather more information from the
market prior to sending out other bid documents to a set of selected
vendors (like a Request for Quote). A Request for Proposal is used where
scope is complex or the buyer is looking for the vendor to provide a
solution. Request for Quote is when price is the deciding factor. (PMBOK
Guide) -- Seventh Edition, 2021, p75, ""The Bid Process""",500_questions.txt
307,"You are working on a project where part of the work is planned carefully
upfront, and another part is subject to change. You negotiate terms and
conditions, including cost, delivery and payment dates. The vendor is
concerned about confusion that might occur between the pre-planned and
changeable work. What will you do next?","Use a Firm Fixed Price contract, to ensure cost is fixed but scope can
remain flexible.","Use a time and materials contract, to ensure only the time and materials
used are paid for.","Adjust your project plan to suit either a predictive or adaptive
approach to reduce the confusion.","Use a master agreement for the overall contract, with adaptive work
placed in an appendix.",4,"For projects that use an adaptive approach for some deliverables and a
predictive approach for others, a master agreement is used and the
adaptive work may be placed in an appendix or supplement. This allows
the changes to occur on the adaptive scope without impacting the overall
contract. (PMBOK Guide) -- Seventh Edition, 2021, p76, ""The Bid Process:
Contracting""",500_questions.txt
308,"You are working on an agile project where there are vastly differing
levels of product knowledge within your team. The scrum master suggests
that you try to gain knowledge by osmosis, because the project
information may be lost when only communicating by email. What will you
do next?","Co-locate the team to capture the benefit of each person's tacit
knowledge.","Refer to the organisational process assets to capture the team's
explicit knowledge.","Refer to the project's knowledge management system to capture the
project's explicit knowledge.",Create a process to capture the team's tacit knowledge.,1,"Learning by Osmosis is capturing information from the immediate
surroundings, such as co-locating the team. Tacit knowledge is
information that is not straight forward, such as experience, insights,
and practical knowledge or skill. Explicit knowledge can be readily
codified using words, a process, pictures. (PMBOK Guide) -- Seventh
Edition, 2021, p77, ""Explicit and tacit knowledge""",500_questions.txt
309,"You are working as a Product Owner, and have placed high level
information about the product in the product backlog, and the highest
priority feature at the top. Senior users informing the project are
unable to clearly articulate their requirements, and are concerned that
the product will not truly meet their needs. What will you do next?",Proceed with the highest priority item during the first sprint.,"Work with the customer to create mock-ups and prototypes to discover
what works for them.","Ask your stakeholders to submit a change request and update the project
scope accordingly.",Begin breaking the work down into user stories to place in the sprint.,2,"On projects that do not have clearly defined requirements prototypes,
demonstrations, storyboards and mock-ups can be used to evolve the
requirements. In these situations, Stakeholders are more likely to take
an ""I'll know it when I see it"" approach. (PMBOK Guide) -- Seventh
Edition, 2021, p83, ""Evolving and discovering requirements.""",500_questions.txt
310,"You are gathering requirements for a new feature in a customer
management system. The product owner has given a user interface feature
as the next highest priority, and you are co-located with the team
receiving the benefits. What will you do next?","Show the customer team how the new user interface will look, as they
will be using it.","Communicate the requirements to developers with a coherent, logical flow
of ideas.","Elicit requirements into user stories using acceptance criteria that is
clear, verifiable and traceable.","Show the mock up or prototype to the developers and ask them to develop
based on that.",3,"Elicitation means to draw out. Well-documented requirements are Clear,
Concise, Verifiable, Consistent, Complete and Traceable. A prototype
useful but may need more information for developers to turn into a
product. Clear purpose, coherent ideas, controlling flow, concise
expression and correct grammar are part of the Five C's of
communication. (PMBOK Guide) -- Seventh Edition, 2021, p83,
""Requirements Elicitation\""",500_questions.txt
311,"You are working in an agile team who are trying to break down the
project requirements and scope. They have created a scope statement and
work breakdown structure, but are not sure how it will work now that
they are using sprints and user stories. What will you do next?","Assign activities to each of the scope items in the WBS, and place them
on a Gantt Chart.","Create a product roadmap with the team, using the lowest, most detailed
part of the WBS.","Group the work by large themes of customer value, shown as Epics, then
break them down into smaller user stories to complete in each sprint.","Ask the team to trace the requirements properly using a Requirements
traceability Matrix.",3,"One way to identify scope is identifying the themes of customer value,
associated by a common factor such as functionality, data source or
security level. These are shown as Epics, which are too big to complete
in a sprint, and have smaller user stories within them. (PMBOK Guide) --
Seventh Edition, 2021, p84, ""Scope decomposition.""",500_questions.txt
312,"Your project team are trialling an agile way of work. The Product Owner
has a clear vision for the product. There is confusion in the team as to
how much work should be done on a user story before it is taken to the
sprint review, and how they will know a story is complete. What will you
do next?","Refer to the user story acceptance criteria and your team's Definition
of Done.","Review the user story with multiple customers and senior users to ensure
it is correct.",Ask the product owner to sign off on the completed user story.,Ensure quality testing on the user story is completed and passed.,1,"Different ways to describe component completion include acceptance or
completion criteria, technical performance measures, and Definition of
Done. Quality testing will be done to the acceptance criteria, as will
Product Owner sign off. (PMBOK Guide) -- Seventh Edition, 2021, p85,
""Completion of deliverables""",500_questions.txt
313,"You have been working closely with the quality manager of your project,
planning the budget for the project phase that is due to begin in the
next two months. They mention the need to budget for appraisal costs, to
avoid quality issues in the future. What will you do next?","Ensure there is enough for training the staff to reduce the number of
errors.","Ensure there is enough for a quality tester to verify the deliverables
against agreed specifications.",Ensure there is enough to create a quality assurance plan.,"Ensure there is enough to allow for rework or rectification when defects
are found.",2,"This question is on the Cost of Quality. Prevention costs are training
or quality planning. Appraisal costs are verification or audits.
Internal failure is waste, defects, rework. External failure is customer
complaints, repairs and servicing, warranty claims. (PMBOK Guide) --
Seventh Edition, 2021, p89, ""Cost of Quality""",500_questions.txt
