id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,approach,difficulty,split,source
2715,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Engage the team to find a solution,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
2716,A project manager is managing a Predictive project. A resource shortage arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,validation,synthetic_eco_v2
2717,A project manager is managing a Hybrid project. A scope change request arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Review risk response strategies,Replace the responsible team member,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
2718,A project manager is managing a Agile project. A communication breakdown arises related to people. What should the project manager do first?,Analyze the situation before acting,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,train,synthetic_eco_v2
2719,A project manager is managing a Agile project. A scope change request arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,test,synthetic_eco_v2
2720,A project manager is managing a Predictive project. A communication breakdown arises related to process. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,Escalate immediately to the sponsor,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
2721,A project manager is managing a Hybrid project. A schedule delay arises related to people. What should the project manager do first?,Replace the responsible team member,Analyze the situation before acting,Ignore the issue temporarily,Escalate immediately to the sponsor,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2722,A project manager is managing a Predictive project. A resource shortage arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,hard,train,synthetic_eco_v2
2723,A project manager is managing a Agile project. A scope change request arises related to process. What should the project manager do first?,Replace the responsible team member,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,test,synthetic_eco_v2
2724,A project manager is managing a Hybrid project. A risk identification arises related to process. What should the project manager do first?,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2725,A project manager is managing a Predictive project. A schedule delay arises related to business. What should the project manager do first?,Review risk response strategies,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,validation,synthetic_eco_v2
2726,A project manager is managing a Agile project. A risk identification arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate only after evaluation,Escalate immediately to the sponsor,C,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,train,synthetic_eco_v2
2727,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,C,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
2728,A project manager is managing a Hybrid project. A risk identification arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2729,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Analyze the situation before acting,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2730,A project manager is managing a Agile project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,train,synthetic_eco_v2
2731,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Update the project plan accordingly,Escalate immediately to the sponsor,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
2732,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2733,A project manager is managing a Predictive project. A team conflict arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
2734,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Update the project plan accordingly,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Agile,medium,train,synthetic_eco_v2
2735,A project manager is managing a Predictive project. A resource shortage arises related to people. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
2736,A project manager is managing a Hybrid project. A risk identification arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
2737,A project manager is managing a Agile project. A quality issue arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate only after evaluation,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,validation,synthetic_eco_v2
2738,A project manager is managing a Hybrid project. A team conflict arises related to business. What should the project manager do first?,Replace the responsible team member,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,train,synthetic_eco_v2
2739,A project manager is managing a Predictive project. A communication breakdown arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,train,synthetic_eco_v2
2740,A project manager is managing a Agile project. A scope change request arises related to business. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
2741,A project manager is managing a Predictive project. A communication breakdown arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,test,synthetic_eco_v2
2742,A project manager is managing a Predictive project. A resource shortage arises related to people. What should the project manager do first?,Update the project plan accordingly,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
2743,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Ignore the issue temporarily,Update the project plan accordingly,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
2744,A project manager is managing a Predictive project. A stakeholder disagreement arises related to business. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,easy,validation,synthetic_eco_v2
2745,A project manager is managing a Hybrid project. A scope change request arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Update the project plan accordingly,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
2746,A project manager is managing a Hybrid project. A quality issue arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Escalate only after evaluation,D,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,easy,train,synthetic_eco_v2
2747,A project manager is managing a Predictive project. A team conflict arises related to people. What should the project manager do first?,Review risk response strategies,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
2748,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,validation,synthetic_eco_v2
2749,A project manager is managing a Agile project. A quality issue arises related to business. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,test,synthetic_eco_v2
2750,A project manager is managing a Hybrid project. A risk identification arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Analyze the situation before acting,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
2751,A project manager is managing a Agile project. A scope change request arises related to business. What should the project manager do first?,Ignore the issue temporarily,Review risk response strategies,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
2752,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
2753,A project manager is managing a Agile project. A team conflict arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,train,synthetic_eco_v2
2754,A project manager is managing a Hybrid project. A team conflict arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,hard,train,synthetic_eco_v2
2755,A project manager is managing a Predictive project. A risk identification arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,train,synthetic_eco_v2
2756,A project manager is managing a Agile project. A risk identification arises related to business. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,test,synthetic_eco_v2
2757,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Review risk response strategies,Replace the responsible team member,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
2758,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to business. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,test,synthetic_eco_v2
2759,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2760,A project manager is managing a Agile project. A quality issue arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,easy,train,synthetic_eco_v2
2761,A project manager is managing a Predictive project. A team conflict arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
2762,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Ignore the issue temporarily,Escalate only after evaluation,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2763,A project manager is managing a Predictive project. A risk identification arises related to people. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
2764,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate only after evaluation,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,train,synthetic_eco_v2
2765,A project manager is managing a Predictive project. A scope change request arises related to people. What should the project manager do first?,Engage the team to find a solution,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Predictive,easy,train,synthetic_eco_v2
2766,A project manager is managing a Agile project. A risk identification arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
2767,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Ignore the issue temporarily,Review risk response strategies,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2768,A project manager is managing a Predictive project. A resource shortage arises related to people. What should the project manager do first?,Review risk response strategies,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Predictive,hard,train,synthetic_eco_v2
2769,A project manager is managing a Hybrid project. A communication breakdown arises related to people. What should the project manager do first?,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,train,synthetic_eco_v2
2770,A project manager is managing a Agile project. A scope change request arises related to people. What should the project manager do first?,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Agile,hard,train,synthetic_eco_v2
2771,A project manager is managing a Agile project. A scope change request arises related to people. What should the project manager do first?,Analyze the situation before acting,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,test,synthetic_eco_v2
2772,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Ignore the issue temporarily,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,test,synthetic_eco_v2
2773,A project manager is managing a Hybrid project. A team conflict arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Review risk response strategies,D,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
2774,A project manager is managing a Agile project. A quality issue arises related to business. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Replace the responsible team member,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,test,synthetic_eco_v2
2775,A project manager is managing a Agile project. A risk identification arises related to business. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Update the project plan accordingly,Escalate immediately to the sponsor,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Business,Agile,easy,validation,synthetic_eco_v2
2776,A project manager is managing a Predictive project. A team conflict arises related to process. What should the project manager do first?,Analyze the situation before acting,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,validation,synthetic_eco_v2
2777,A project manager is managing a Hybrid project. A scope change request arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,hard,test,synthetic_eco_v2
2778,A project manager is managing a Hybrid project. A resource shortage arises related to business. What should the project manager do first?,Ignore the issue temporarily,Facilitate a discussion with stakeholders,Replace the responsible team member,Escalate immediately to the sponsor,B,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Business,Hybrid,medium,train,synthetic_eco_v2
2779,A project manager is managing a Agile project. A team conflict arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Update the project plan accordingly,D,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
2780,A project manager is managing a Agile project. A stakeholder disagreement arises related to people. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Analyze the situation before acting,Escalate immediately to the sponsor,C,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,easy,train,synthetic_eco_v2
2781,A project manager is managing a Predictive project. A resource shortage arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Engage the team to find a solution,D,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,medium,validation,synthetic_eco_v2
2782,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Replace the responsible team member,Engage the team to find a solution,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2783,A project manager is managing a Hybrid project. A communication breakdown arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Analyze the situation before acting,D,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,hard,train,synthetic_eco_v2
2784,A project manager is managing a Predictive project. A communication breakdown arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,validation,synthetic_eco_v2
2785,A project manager is managing a Predictive project. A resource shortage arises related to business. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",Business,Predictive,medium,train,synthetic_eco_v2
2786,A project manager is managing a Hybrid project. A quality issue arises related to people. What should the project manager do first?,Escalate only after evaluation,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2787,A project manager is managing a Hybrid project. A resource shortage arises related to process. What should the project manager do first?,Facilitate a discussion with stakeholders,Ignore the issue temporarily,Replace the responsible team member,Escalate immediately to the sponsor,A,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,easy,train,synthetic_eco_v2
2788,A project manager is managing a Predictive project. A communication breakdown arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,train,synthetic_eco_v2
2789,A project manager is managing a Agile project. A schedule delay arises related to business. What should the project manager do first?,Replace the responsible team member,Ignore the issue temporarily,Review risk response strategies,Escalate immediately to the sponsor,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Business,Agile,hard,train,synthetic_eco_v2
2790,A project manager is managing a Hybrid project. A quality issue arises related to process. What should the project manager do first?,Review risk response strategies,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Hybrid,medium,train,synthetic_eco_v2
2791,A project manager is managing a Agile project. A scope change request arises related to people. What should the project manager do first?,Analyze the situation before acting,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is analyze the situation before acting, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,train,synthetic_eco_v2
2792,A project manager is managing a Agile project. A quality issue arises related to people. What should the project manager do first?,Engage the team to find a solution,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,test,synthetic_eco_v2
2793,A project manager is managing a Hybrid project. A quality issue arises related to people. What should the project manager do first?,Engage the team to find a solution,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
2794,A project manager is managing a Agile project. A team conflict arises related to process. What should the project manager do first?,Replace the responsible team member,Escalate immediately to the sponsor,Update the project plan accordingly,Ignore the issue temporarily,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,validation,synthetic_eco_v2
2795,A project manager is managing a Hybrid project. A team conflict arises related to people. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Ignore the issue temporarily,Escalate immediately to the sponsor,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,train,synthetic_eco_v2
2796,A project manager is managing a Hybrid project. A risk identification arises related to people. What should the project manager do first?,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,A,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,test,synthetic_eco_v2
2797,A project manager is managing a Agile project. A quality issue arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Replace the responsible team member,Facilitate a discussion with stakeholders,Ignore the issue temporarily,C,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",People,Agile,medium,train,synthetic_eco_v2
2798,A project manager is managing a Hybrid project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate immediately to the sponsor,Engage the team to find a solution,Replace the responsible team member,Ignore the issue temporarily,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2799,A project manager is managing a Hybrid project. A resource shortage arises related to people. What should the project manager do first?,Ignore the issue temporarily,Escalate immediately to the sponsor,Update the project plan accordingly,Replace the responsible team member,C,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,medium,test,synthetic_eco_v2
2800,A project manager is managing a Agile project. A schedule delay arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Replace the responsible team member,Facilitate a discussion with stakeholders,D,"The correct approach is facilitate a discussion with stakeholders, aligned with PMI principles of proactive and collaborative management.",Process,Agile,hard,train,synthetic_eco_v2
2801,A project manager is managing a Hybrid project. A communication breakdown arises related to people. What should the project manager do first?,Review risk response strategies,Escalate immediately to the sponsor,Replace the responsible team member,Ignore the issue temporarily,A,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2802,A project manager is managing a Agile project. A stakeholder disagreement arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Ignore the issue temporarily,Review risk response strategies,Replace the responsible team member,C,"The correct approach is review risk response strategies, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
2803,A project manager is managing a Hybrid project. A team conflict arises related to people. What should the project manager do first?,Escalate only after evaluation,Ignore the issue temporarily,Escalate immediately to the sponsor,Replace the responsible team member,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Hybrid,easy,train,synthetic_eco_v2
2804,A project manager is managing a Agile project. A stakeholder disagreement arises related to process. What should the project manager do first?,Escalate immediately to the sponsor,Engage the team to find a solution,Ignore the issue temporarily,Replace the responsible team member,B,"The correct approach is engage the team to find a solution, aligned with PMI principles of proactive and collaborative management.",Process,Agile,medium,train,synthetic_eco_v2
2805,A project manager is managing a Predictive project. A stakeholder disagreement arises related to people. What should the project manager do first?,Escalate only after evaluation,Replace the responsible team member,Escalate immediately to the sponsor,Ignore the issue temporarily,A,"The correct approach is escalate only after evaluation, aligned with PMI principles of proactive and collaborative management.",People,Predictive,medium,train,synthetic_eco_v2
2806,A project manager is managing a Predictive project. A team conflict arises related to process. What should the project manager do first?,Replace the responsible team member,Update the project plan accordingly,Escalate immediately to the sponsor,Ignore the issue temporarily,B,"The correct approach is update the project plan accordingly, aligned with PMI principles of proactive and collaborative management.",Process,Predictive,easy,test,synthetic_eco_v2
